"ano","variable","valor"
"1992","giniipcf","44.77571"
"1993","giniipcf","44.18243"
"1994","giniipcf","45.07498"
"1995","giniipcf","47.85684"
"1996","giniipcf","48.28348"
"1997","giniipcf","48.07425"
"1998","giniipcf","49.94140"
"1999","giniipcf","48.87922"
"2000","giniipcf","50.21395"
"2001","giniipcf","51.99377"
"2002","giniipcf","53.03869"
"2003","giniipcf","52.56350"
"2004","giniipcf","49.60043"
"2005","giniipcf","48.84258"
"2006","giniipcf","47.46762"
"2007","giniipcf","46.90239"
"2008","giniipcf","45.94336"
"2009","giniipcf","44.86003"
"2010","giniipcf","44.21735"
"2011","giniipcf","43.32709"
"2012","giniipcf","42.25587"
"2013","giniipcf","41.93811"
"2014","giniipcf","42.49648"
"2015","giniipcf","41.47236"
"2016","giniipcf","43.78232"
"2017","giniipcf","42.43810"
"2018","giniipcf","43.01913"
"2019","giniipcf","44.23044"
"2020","giniipcf","43.60000"
"2021","giniipcf","42.90000"
"2022","giniipcf","41.71510"
"2023","giniipcf","43.39952"
"2024","giniipcf","43.17483"
"2025","giniipcf","42.86521"
"1992","giniila","40.11208"
"1993","giniila","40.28311"
"1994","giniila","40.48755"
"1995","giniila","44.51784"
"1996","giniila","44.82192"
"1997","giniila","44.18084"
"1998","giniila","46.68723"
"1999","giniila","45.77816"
"2000","giniila","46.47036"
"2001","giniila","48.19547"
"2002","giniila","48.15177"
"2003","giniila","48.10808"
"2004","giniila","45.70277"
"2005","giniila","45.28731"
"2006","giniila","43.23094"
"2007","giniila","43.35538"
"2008","giniila","41.56731"
"2009","giniila","41.19549"
"2010","giniila","40.33998"
"2011","giniila","40.02559"
"2012","giniila","38.83221"
"2013","giniila","38.32116"
"2014","giniila","38.87542"
"2015","giniila","37.80225"
"2016","giniila","40.03605"
"2017","giniila","39.88613"
"2018","giniila","40.34618"
"2019","giniila","41.48477"
"2020","giniila","41.45869"
"2021","giniila","41.26474"
"2022","giniila","41.07079"
"2023","giniila","42.07183"
"2024","giniila","44.16513"
"2025","giniila","43.77341"
