"grupo_de_paises","anio","mediana_paises_inflacion"
"América Latina y Caribe","1980","21.206"
"América Latina y Caribe","1981","21.2135"
"América Latina y Caribe","1982","21.9815"
"América Latina y Caribe","1983","20.1005"
"América Latina y Caribe","1984","26.771"
"América Latina y Caribe","1985","27.9"
"América Latina y Caribe","1986","21.5"
"América Latina y Caribe","1987","22.672"
"América Latina y Caribe","1988","28.297"
"América Latina y Caribe","1989","23.486"
"América Latina y Caribe","1990","36.421"
"América Latina y Caribe","1991","18.795"
"América Latina y Caribe","1992","17.545874354603"
"América Latina y Caribe","1993","13.087"
"América Latina y Caribe","1994","18.296"
"América Latina y Caribe","1995","15.387"
"América Latina y Caribe","1996","11.9715"
"América Latina y Caribe","1997","7.8085"
"América Latina y Caribe","1998","7.8355"
"América Latina y Caribe","1999","5.2525"
"América Latina y Caribe","2000","7.2425"
"América Latina y Caribe","2001","6.147"
"América Latina y Caribe","2002","7.661"
"América Latina y Caribe","2003","6.4275"
"América Latina y Caribe","2004","6.83499088359047"
"América Latina y Caribe","2005","6.5635"
"América Latina y Caribe","2006","5.143"
"América Latina y Caribe","2007","8.1875"
"América Latina y Caribe","2008","9.017"
"América Latina y Caribe","2009","2.428"
"América Latina y Caribe","2010","5.8665"
"América Latina y Caribe","2011","6.107"
"América Latina y Caribe","2012","4.5455"
"América Latina y Caribe","2013","4.14"
"América Latina y Caribe","2014","4.4495"
"América Latina y Caribe","2015","3.2575"
"América Latina y Caribe","2016","3.3375"
"América Latina y Caribe","2017","4.3485"
"América Latina y Caribe","2018","2.7945"
"América Latina y Caribe","2019","3.5315"
"América Latina y Caribe","2020","3.0405"
"América Latina y Caribe","2021","6.982"
"América Latina y Caribe","2022","8.3755"
"América Latina y Caribe","2023","4.299"
"Países de Altos Ingresos","1980","13.477"
"Países de Altos Ingresos","1981","11.152"
"Países de Altos Ingresos","1982","8.824"
"Países de Altos Ingresos","1983","6.081"
"Países de Altos Ingresos","1984","5.109"
"Países de Altos Ingresos","1985","4.078"
"Países de Altos Ingresos","1986","3.377"
"Países de Altos Ingresos","1987","4.184"
"Países de Altos Ingresos","1988","4.712"
"Países de Altos Ingresos","1989","5.203"
"Países de Altos Ingresos","1990","5.323"
"Países de Altos Ingresos","1991","4.5545"
"Países de Altos Ingresos","1992","3.148"
"Países de Altos Ingresos","1993","3.006"
"Países de Altos Ingresos","1994","2.655"
"Países de Altos Ingresos","1995","2.952"
"Países de Altos Ingresos","1996","2.3265"
"Países de Altos Ingresos","1997","1.846"
"Países de Altos Ingresos","1998","1.4945"
"Países de Altos Ingresos","1999","1.732"
"Países de Altos Ingresos","2000","2.824"
"Países de Altos Ingresos","2001","2.069"
"Países de Altos Ingresos","2002","2.6205"
"Países de Altos Ingresos","2003","1.612"
"Países de Altos Ingresos","2004","2.268"
"Países de Altos Ingresos","2005","2.233"
"Países de Altos Ingresos","2006","2.119"
"Países de Altos Ingresos","2007","3.296"
"Países de Altos Ingresos","2008","2.682"
"Países de Altos Ingresos","2009","1.1365"
"Países de Altos Ingresos","2010","2.646"
"Países de Altos Ingresos","2011","2.605"
"Países de Altos Ingresos","2012","2.102"
"Países de Altos Ingresos","2013","1.2335"
"Países de Altos Ingresos","2014","0.2555"
"Países de Altos Ingresos","2015","0.2905"
"Países de Altos Ingresos","2016","1.2605"
"Países de Altos Ingresos","2017","1.5865"
"Países de Altos Ingresos","2018","1.705"
"Países de Altos Ingresos","2019","1.319"
"Países de Altos Ingresos","2020","0.2715"
"Países de Altos Ingresos","2021","4.293"
"Países de Altos Ingresos","2022","7.698"
"Países de Altos Ingresos","2023","3.1685"
