"anio","geocodigoFundar","geonombreFundar","exp_vida_al_nacer"
"2025","WLD","Mundo","73.5179"
"2025","HIC","Países de altos ingresos","81.7344"
"2025","BDI","Burundi","63.9726"
"2025","COM","Comoras","67.2487"
"2025","DJI","Djibouti","66.4098"
"2025","ERI","Eritrea","69.1512"
"2025","ETH","Etiopía","67.8758"
"2025","KEN","Kenia","64.0138"
"2025","MDG","Madagascar","64.0374"
"2025","MWI","Malawi","67.7438"
"2025","MUS","Mauricio","75.2708"
"2025","MYT","Mayotte","76.4241"
"2025","MOZ","Mozambique","63.9686"
"2025","REU","Reunión","83.8039"
"2025","RWA","Ruanda","68.2415"
"2025","SYC","Seychelles","73.1404"
"2025","SOM","Somalia","59.1083"
"2025","SSD","Sudán del Sur","57.8513"
"2025","UGA","Uganda","68.7077"
"2025","TZA","Tanzanía","67.4188"
"2025","ZMB","Zambia","66.7003"
"2025","ZWE","Zimbabwe","63.3459"
"2025","AGO","Angola","64.9848"
"2025","CMR","Camerún","64.2493"
"2025","CAF","Rep. Centroafricana","57.9031"
"2025","TCD","Chad","55.4286"
"2025","COG","Congo","66.2041"
"2025","COD","Rep. Dem. Congo","62.228"
"2025","GNQ","Guinea Ecuatorial","64.1003"
"2025","GAB","Gabón","68.6963"
"2025","STP","Santo Tomé y Príncipe","70.0814"
"2025","DZA","Argelia","76.6866"
"2025","EGY","Egipto","71.9868"
"2025","LBY","Libia","73.1912"
"2025","MAR","Marruecos","75.6825"
"2025","SDN","Sudán","66.7045"
"2025","TUN","Túnez","76.9033"
"2025","ESH","Sáhara Occidental","71.7797"
"2025","BWA","Botswana","69.4289"
"2025","SWZ","Eswatini","64.4026"
"2025","LSO","Lesotho","58.2169"
"2025","NAM","Namibia","67.6626"
"2025","ZAF","Sudáfrica","66.4874"
"2025","BEN","Benin","61.1407"
"2025","BFA","Burkina Faso","61.4729"
"2025","CPV","Cabo Verde","76.3971"
"2025","CIV","Costa de Marfil","62.2782"
"2025","GMB","Gambia","66.2532"
"2025","GHA","Ghana","65.8857"
"2025","GIN","Guinea","61.0639"
"2025","GNB","Guinea-Bissau","64.4108"
"2025","LBR","Liberia","62.4713"
"2025","MLI","Malí","60.8937"
"2025","MRT","Mauritania","68.937"
"2025","NER","Níger","61.6597"
"2025","NGA","Nigeria","54.784"
"2025","SHN","Santa Elena","77.1264"
"2025","SEN","Senegal","69.1569"
"2025","SLE","Sierra Leona","62.1503"
"2025","TGO","Togo","63.1374"
"2025","KAZ","Kazajstán","74.6708"
"2025","KGZ","Kirguistán","71.9687"
"2025","TJK","Tayikistán","72.0521"
"2025","TKM","Turkmenistán","70.3341"
"2025","UZB","Uzbekistán","72.6562"
"2025","CHN","China","78.3723"
"2025","HKG","Hong Kong","85.7686"
"2025","MAC","Macao","83.4152"
"2025","TWN","Taiwán","80.9415"
"2025","PRK","Corea del Norte","73.8594"
"2025","JPN","Japón","85.0012"
"2025","MNG","Mongolia","72.2377"
"2025","KOR","Corea del Sur","84.5348"
"2025","AFG","Afganistán","66.538"
"2025","BGD","Bangladesh","75.195"
"2025","BTN","Bhután","73.5278"
"2025","IND","India","72.4848"
"2025","IRN","Irán","78.0506"
"2025","MDV","Maldivas","81.5081"
"2025","NPL","Nepal","70.8968"
"2025","PAK","Pakistán","67.9371"
"2025","LKA","Sri Lanka","77.8539"
"2025","BRN","Brunei","75.6685"
"2025","KHM","Camboya","70.9695"
"2025","IDN","Indonesia","71.4377"
"2025","LAO","Laos","69.4728"
"2025","MYS","Malasia","76.987"
"2025","MMR","Myanmar","67.302"
"2025","PHL","Filipinas","70.0671"
"2025","SGP","Singapur","83.9981"
"2025","THA","Tailandia","76.8247"
"2025","TLS","Timor-Leste","68.1299"
"2025","VNM","Vietnam","74.8813"
"2025","ARM","Armenia","76.0123"
"2025","AZE","Azerbaiyán","74.7322"
"2025","BHR","Bahrein","81.5792"
"2025","CYP","Chipre","81.9911"
"2025","GEO","Georgia","74.8164"
"2025","IRQ","Iraq","72.5339"
"2025","ISR","Israel","82.7736"
"2025","JOR","Jordania","78.1311"
"2025","KWT","Kuwait","80.7791"
"2025","LBN","Líbano","78.0838"
"2025","OMN","Omán","80.4512"
"2025","QAT","Qatar","82.6797"
"2025","SAU","Arabia Saudita","79.1953"
"2025","PSE","Palestina","73.1011"
"2025","SYR","Siria","72.9899"
"2025","TUR","Turquía","77.8239"
"2025","ARE","Emiratos Árabes Unidos","83.235"
"2025","YEM","Yemen","69.5796"
"2025","BLR","Belarús","74.7927"
"2025","BGR","Bulgaria","75.9612"
"2025","CZE","Chequia","80.1069"
"2025","HUN","Hungría","77.3326"
"2025","POL","Polonia","78.9807"
"2025","MDA","Moldavia","71.4672"
"2025","ROU","Rumania","76.2453"
"2025","RUS","Rusia","73.5216"
"2025","SVK","Eslovaquia","78.654"
"2025","UKR","Ucrania","74.8652"
"2025","DNK","Dinamarca","82.2452"
"2025","EST","Estonia","79.4762"
"2025","FRO","Islas Feroe","80.6002"
"2025","FIN","Finlandia","82.2437"
"2025","GGY","Guernsey","83.5139"
"2025","ISL","Islandia","83.1526"
"2025","IRL","Irlanda","82.7453"
"2025","IMN","Isla de Man","81.2226"
"2025","JEY","Jersey","79.9865"
"2025","LVA","Letonia","76.4768"
"2025","LTU","Lituania","76.3216"
"2025","NOR","Noruega","83.6072"
"2025","SWE","Suecia","83.5764"
"2025","GBR","Reino Unido","81.5995"
"2025","ALB","Albania","79.9533"
"2025","AND","Andorra","84.3305"
"2025","BIH","Bosnia y Herzegovina","78.2371"
"2025","HRV","Croacia","78.9154"
"2025","GIB","Gibraltar","83.7773"
"2025","GRC","Grecia","82.2247"
"2025","VAT","Vaticano","83.2871"
"2025","ITA","Italia","84.0285"
"2025","XKX","Kosovo","78.4216"
"2025","MLT","Malta","83.6277"
"2025","MNE","Montenegro","77.4339"
