"periodo","brecha","sector"
1996,0.237824746815108,"Promedio economía"
1997,0.226060000654283,"Promedio economía"
1998,0.226689100261858,"Promedio economía"
1999,0.219682411456488,"Promedio economía"
2000,0.224452646016507,"Promedio economía"
2001,0.221984004909739,"Promedio economía"
2002,0.252599212590886,"Promedio economía"
2003,0.256263130780601,"Promedio economía"
2004,0.251018427128598,"Promedio economía"
2005,0.247763823674343,"Promedio economía"
2006,0.249237569909659,"Promedio economía"
2007,0.254588209042443,"Promedio economía"
2008,0.25110576281138,"Promedio economía"
2009,0.246740210435092,"Promedio economía"
2010,0.259711255554247,"Promedio economía"
2011,0.256357595949072,"Promedio economía"
2012,0.249035317487902,"Promedio economía"
2013,0.251477846767127,"Promedio economía"
2014,0.243159202617154,"Promedio economía"
2015,0.239469354944701,"Promedio economía"
2016,0.233082559176689,"Promedio economía"
2017,0.226186888492404,"Promedio economía"
2018,0.22485039166086,"Promedio economía"
2019,0.230921076484804,"Promedio economía"
2020,0.221576863340933,"Promedio economía"
2021,0.221809933133802,"Promedio economía"
2022,0.215365801277244,"Promedio economía"
1996,0.399255980426629,"SSI"
1997,0.380554195162447,"SSI"
1998,0.349424390350386,"SSI"
1999,0.319972334264881,"SSI"
2000,0.314234198901641,"SSI"
2001,0.318598748493934,"SSI"
2002,0.313492574279621,"SSI"
2003,0.298820957672932,"SSI"
2004,0.285708359592928,"SSI"
2005,0.273657861399344,"SSI"
2006,0.257697815618392,"SSI"
2007,0.244143657532194,"SSI"
2008,0.240940624367202,"SSI"
2009,0.227511704793171,"SSI"
2010,0.215250237010682,"SSI"
2011,0.202319710155514,"SSI"
2012,0.188834547287991,"SSI"
2013,0.18482292067279,"SSI"
2014,0.177320552942071,"SSI"
2015,0.178214966307007,"SSI"
2016,0.178638824257265,"SSI"
2017,0.174608885305684,"SSI"
2018,0.188278169103301,"SSI"
2019,0.207713925375454,"SSI"
2020,0.216067373597196,"SSI"
2021,0.216731800437655,"SSI"
2022,0.199335717268156,"SSI"
