anio,rango_edad,rango_edad_desc,sexo,tasa_desocupacion
2016,1,Hasta 30,Mujeres,0.193574995614164
2016,2,Entre 30 y 39,Mujeres,0.0616446198272237
2016,3,Entre 40 y 49,Mujeres,0.053957226794238
2016,4,50 y más,Mujeres,0.0286818055728752
2016,1,Hasta 30,Varones,0.133229535822744
2016,2,Entre 30 y 39,Varones,0.0605923882065901
2016,3,Entre 40 y 49,Varones,0.040897709121137
2016,4,50 y más,Varones,0.0447109969427396
2017,1,Hasta 30,Mujeres,0.191355776450416
2017,2,Entre 30 y 39,Mujeres,0.0741348385937135
2017,3,Entre 40 y 49,Mujeres,0.0559224811225978
2017,4,50 y más,Mujeres,0.0396929780119566
2017,1,Hasta 30,Varones,0.135941446984908
2017,2,Entre 30 y 39,Varones,0.0438829149559244
2017,3,Entre 40 y 49,Varones,0.037969859740686
2017,4,50 y más,Varones,0.0356827387620689
2018,1,Hasta 30,Mujeres,0.209001716229157
2018,2,Entre 30 y 39,Mujeres,0.0858810360399496
2018,3,Entre 40 y 49,Mujeres,0.0664448790166549
2018,4,50 y más,Mujeres,0.0602322756415774
2018,1,Hasta 30,Varones,0.143652681146098
2018,2,Entre 30 y 39,Varones,0.055587137103967
2018,3,Entre 40 y 49,Varones,0.0449378024280408
2018,4,50 y más,Varones,0.060134636410712
2019,1,Hasta 30,Mujeres,0.213585983442294
2019,2,Entre 30 y 39,Mujeres,0.0960244727063919
2019,3,Entre 40 y 49,Mujeres,0.057660830218375
2019,4,50 y más,Mujeres,0.0506170824778933
2019,1,Hasta 30,Varones,0.163945608913811
2019,2,Entre 30 y 39,Varones,0.0556298065518045
2019,3,Entre 40 y 49,Varones,0.0564205375709549
2019,4,50 y más,Varones,0.0499813997425223
2020,1,Hasta 30,Mujeres,0.237163697617875
2020,2,Entre 30 y 39,Mujeres,0.125507017202998
2020,3,Entre 40 y 49,Mujeres,0.0786529735502194
2020,4,50 y más,Mujeres,0.0789218840533293
2020,1,Hasta 30,Varones,0.191009543337101
2020,2,Entre 30 y 39,Varones,0.0604272334023896
2020,3,Entre 40 y 49,Varones,0.0652032899922087
2020,4,50 y más,Varones,0.0911233164529907
2021,1,Hasta 30,Mujeres,0.175145311455172
2021,2,Entre 30 y 39,Mujeres,0.0913716415276734
2021,3,Entre 40 y 49,Mujeres,0.0502523517598563
2021,4,50 y más,Mujeres,0.0514855843157047
2021,1,Hasta 30,Varones,0.145345387881871
2021,2,Entre 30 y 39,Varones,0.0523922511356363
2021,3,Entre 40 y 49,Varones,0.0384779682129881
2021,4,50 y más,Varones,0.0424570830077189
2022,1,Hasta 30,Mujeres,0.159912410439723
2022,2,Entre 30 y 39,Mujeres,0.0594320235024758
2022,3,Entre 40 y 49,Mujeres,0.0459970918510092
2022,4,50 y más,Mujeres,0.0403842918974564
2022,1,Hasta 30,Varones,0.126257307092581
2022,2,Entre 30 y 39,Varones,0.0359385420872824
2022,3,Entre 40 y 49,Varones,0.0304632056982942
2022,4,50 y más,Varones,0.0440550640671474
2023,1,Hasta 30,Mujeres,0.124757114265955
2023,2,Entre 30 y 39,Mujeres,0.0554841578577865
2023,3,Entre 40 y 49,Mujeres,0.0420422589910392
2023,4,50 y más,Mujeres,0.0229599058657293
2023,1,Hasta 30,Varones,0.10526860357079
2023,2,Entre 30 y 39,Varones,0.0373276458389777
2023,3,Entre 40 y 49,Varones,0.0246475244638706
2023,4,50 y más,Varones,0.0250881849667556
