provincia_id,provincia_nombre,anio,pbg_pc
02,Ciudad Autónoma de Buenos Aires,2004,29990.27
02,Ciudad Autónoma de Buenos Aires,2005,32402.15
02,Ciudad Autónoma de Buenos Aires,2006,34900.49
02,Ciudad Autónoma de Buenos Aires,2007,38121.94
02,Ciudad Autónoma de Buenos Aires,2008,39480.22
02,Ciudad Autónoma de Buenos Aires,2009,38040.53
02,Ciudad Autónoma de Buenos Aires,2010,39909.55
02,Ciudad Autónoma de Buenos Aires,2011,41813.29
02,Ciudad Autónoma de Buenos Aires,2012,41122.12
02,Ciudad Autónoma de Buenos Aires,2013,41083.03
02,Ciudad Autónoma de Buenos Aires,2014,40170.33
02,Ciudad Autónoma de Buenos Aires,2015,40686.95
02,Ciudad Autónoma de Buenos Aires,2016,40281.21
02,Ciudad Autónoma de Buenos Aires,2017,41127
02,Ciudad Autónoma de Buenos Aires,2018,40450.69
02,Ciudad Autónoma de Buenos Aires,2019,38496.29
02,Ciudad Autónoma de Buenos Aires,2020,33851.05
02,Ciudad Autónoma de Buenos Aires,2021,36693.35
06,Buenos Aires,2004,9138.04
06,Buenos Aires,2005,9855
06,Buenos Aires,2006,10417.05
06,Buenos Aires,2007,11005.95
06,Buenos Aires,2008,11367.53
06,Buenos Aires,2009,10497.41
06,Buenos Aires,2010,11588.88
06,Buenos Aires,2011,12165.17
06,Buenos Aires,2012,11961.39
06,Buenos Aires,2013,12047.57
06,Buenos Aires,2014,11493.94
06,Buenos Aires,2015,11726.08
06,Buenos Aires,2016,11355.39
06,Buenos Aires,2017,11520.77
06,Buenos Aires,2018,11033.99
06,Buenos Aires,2019,10648.95
06,Buenos Aires,2020,9584.59
06,Buenos Aires,2021,10532.57
10,Catamarca,2004,11074.6
10,Catamarca,2005,12322.66
10,Catamarca,2006,12812.1
10,Catamarca,2007,13050.65
10,Catamarca,2008,12391.01
10,Catamarca,2009,11151.24
10,Catamarca,2010,11266.22
10,Catamarca,2011,11078.6
10,Catamarca,2012,11205.18
10,Catamarca,2013,10609.03
10,Catamarca,2014,10824.14
10,Catamarca,2015,9690.56
10,Catamarca,2016,9605.17
10,Catamarca,2017,9367.33
10,Catamarca,2018,8858.37
10,Catamarca,2019,7947.41
10,Catamarca,2020,7084.98
10,Catamarca,2021,8150.55
14,Córdoba,2004,10224.06
14,Córdoba,2005,11766.69
14,Córdoba,2006,12365.34
14,Córdoba,2007,13867.5
14,Córdoba,2008,14039.51
14,Córdoba,2009,12623.51
14,Córdoba,2010,14087.69
14,Córdoba,2011,14551.93
14,Córdoba,2012,13726.37
14,Córdoba,2013,14585.35
14,Córdoba,2014,14233.71
14,Córdoba,2015,14635.2
14,Córdoba,2016,14249.82
14,Córdoba,2017,14393.36
