geocodigoFundar,geonombreFundar,anio,valor_en_twh
USA,Estados Unidos,1990,16.732742
USA,Estados Unidos,1991,19.388733
USA,Estados Unidos,1992,22.044724
USA,Estados Unidos,1993,25.833727
USA,Estados Unidos,1994,28.846285
USA,Estados Unidos,1995,30.38405
USA,Estados Unidos,1996,21.78628
USA,Estados Unidos,1997,28.832184
USA,Estados Unidos,1998,31.44432
USA,Estados Unidos,1999,32.786575
USA,Estados Unidos,2000,36.307648
USA,Estados Unidos,2001,39.80129
USA,Estados Unidos,2002,48.25923
USA,Estados Unidos,2003,63.254513
USA,Estados Unidos,2004,77.1594
USA,Estados Unidos,2005,90.5215
USA,Estados Unidos,2006,117.97942
USA,Estados Unidos,2007,162.89423
USA,Estados Unidos,2008,231.79965
USA,Estados Unidos,2009,262.63998
USA,Estados Unidos,2010,309.49323
USA,Estados Unidos,2011,347.36652
USA,Estados Unidos,2012,331.92157
USA,Estados Unidos,2013,348.46423
USA,Estados Unidos,2014,370.0955
USA,Estados Unidos,2015,381.23245
USA,Estados Unidos,2016,407.63675
USA,Estados Unidos,2017,420.88635
USA,Estados Unidos,2018,435.04752
USA,Estados Unidos,2019,429.92657
USA,Estados Unidos,2020,393.43954
USA,Estados Unidos,2021,425.18466
USA,Estados Unidos,2022,452.08224
USA,Estados Unidos,2023,498.62552
AUT,Austria,1990,0.073269
AUT,Austria,1991,0.08024701
AUT,Austria,1992,0.08955101
AUT,Austria,1993,0.10118101
AUT,Austria,1994,0.067454
AUT,Austria,1995,0.13025601
AUT,Austria,1996,0.141886
AUT,Austria,1997,0.15351601
AUT,Austria,1998,0.16514601
AUT,Austria,1999,0.181428
AUT,Austria,2000,0.21282415
AUT,Austria,2001,0.21224266
AUT,Austria,2002,0.26530334
AUT,Austria,2003,0.318364
AUT,Austria,2004,0.58526635
AUT,Austria,2005,0.84897065
AUT,Austria,2006,1.273456
AUT,Austria,2007,2.5759044
AUT,Austria,2008,3.0956252
AUT,Austria,2009,4.2849255
AUT,Austria,2010,4.4873886
AUT,Austria,2011,4.459111
AUT,Austria,2012,3.9966114
AUT,Austria,2013,3.540612
AUT,Austria,2014,4.3583813
AUT,Austria,2015,4.8072314
AUT,Austria,2016,4.478492
AUT,Austria,2017,4.4122252
AUT,Austria,2018,4.4226027
AUT,Austria,2019,4.576807
AUT,Austria,2020,4.313216
AUT,Austria,2021,4.479076
AUT,Austria,2022,4.791891
AUT,Austria,2023,4.4206047
BRA,Brasil,1990,68.512
BRA,Brasil,1991,76.815605
BRA,Brasil,1992,70.370445
BRA,Brasil,1993,68.25598
BRA,Brasil,1994,74.95961
BRA,Brasil,1995,76.39262
BRA,Brasil,1996,85.02924
BRA,Brasil,1997,93.43981
BRA,Brasil,1998,85.30479
BRA,Brasil,1999,78.68598
BRA,Brasil,2000,65.01594
BRA,Brasil,2001,69.79248
BRA,Brasil,2002,76.622284
BRA,Brasil,2003,88.292885
BRA,Brasil,2004,89.07529
BRA,Brasil,2005,97.43511
BRA,Brasil,2006,108.2094
BRA,Brasil,2007,139.81993
BRA,Brasil,2008,174.39844
BRA,Brasil,2009,171.59833
BRA,Brasil,2010,189.93903
BRA,Brasil,2011,163.06369
BRA,Brasil,2012,166.94719
BRA,Brasil,2013,193.97246
BRA,Brasil,2014,204.10724
BRA,Brasil,2015,218.91077
BRA,Brasil,2016,206.00305
