"year","semester","poverty_line","pov_type","poverty_rate"
"2003","II","Indigencia","with_transfers","32.06144"
"2003","II","Indigencia","without_transfers","34.67983"
"2003","II","Indigencia","difference","2.61839"
"2004","I","Indigencia","with_transfers","29.73438"
"2004","I","Indigencia","without_transfers","31.94057"
"2004","I","Indigencia","difference","2.20619"
"2004","II","Indigencia","with_transfers","26.41634"
"2004","II","Indigencia","without_transfers","29.15098"
"2004","II","Indigencia","difference","2.73464"
"2005","I","Indigencia","with_transfers","23.50423"
"2005","I","Indigencia","without_transfers","26.59400"
"2005","I","Indigencia","difference","3.08978"
"2005","II","Indigencia","with_transfers","22.08774"
"2005","II","Indigencia","without_transfers","24.60323"
"2005","II","Indigencia","difference","2.51549"
"2006","I","Indigencia","with_transfers","19.93218"
"2006","I","Indigencia","without_transfers","22.12735"
"2006","I","Indigencia","difference","2.19517"
"2006","II","Indigencia","with_transfers","16.46974"
"2006","II","Indigencia","without_transfers","18.98825"
"2006","II","Indigencia","difference","2.51851"
"2007","I","Indigencia","with_transfers","16.84251"
"2007","I","Indigencia","without_transfers","19.37947"
"2007","I","Indigencia","difference","2.53696"
"2007","II","Indigencia","with_transfers","16.28520"
"2007","II","Indigencia","without_transfers","18.66583"
"2007","II","Indigencia","difference","2.38063"
"2008","I","Indigencia","with_transfers","17.41792"
"2008","I","Indigencia","without_transfers","19.65055"
"2008","I","Indigencia","difference","2.23263"
"2008","II","Indigencia","with_transfers","15.18581"
"2008","II","Indigencia","without_transfers","17.68877"
"2008","II","Indigencia","difference","2.50295"
"2009","I","Indigencia","with_transfers","14.22304"
"2009","I","Indigencia","without_transfers","16.90551"
"2009","I","Indigencia","difference","2.68247"
"2009","II","Indigencia","with_transfers","13.79348"
"2009","II","Indigencia","without_transfers","16.47408"
"2009","II","Indigencia","difference","2.68061"
"2010","I","Indigencia","with_transfers","14.70581"
"2010","I","Indigencia","without_transfers","18.47663"
"2010","I","Indigencia","difference","3.77081"
"2010","II","Indigencia","with_transfers","13.82013"
"2010","II","Indigencia","without_transfers","18.01424"
"2010","II","Indigencia","difference","4.19411"
"2011","I","Indigencia","with_transfers","12.17044"
"2011","I","Indigencia","without_transfers","15.93801"
"2011","I","Indigencia","difference","3.76756"
"2011","II","Indigencia","with_transfers","10.84155"
"2011","II","Indigencia","without_transfers","14.59773"
"2011","II","Indigencia","difference","3.75619"
"2012","I","Indigencia","with_transfers","10.85948"
"2012","I","Indigencia","without_transfers","15.03853"
"2012","I","Indigencia","difference","4.17905"
"2012","II","Indigencia","with_transfers","10.96289"
"2012","II","Indigencia","without_transfers","13.71631"
"2012","II","Indigencia","difference","2.75342"
"2013","I","Indigencia","with_transfers","9.10116"
"2013","I","Indigencia","without_transfers","12.83898"
"2013","I","Indigencia","difference","3.73781"
"2013","II","Indigencia","with_transfers","10.20723"
"2013","II","Indigencia","without_transfers","14.53426"
"2013","II","Indigencia","difference","4.32702"
"2014","I","Indigencia","with_transfers","12.62126"
"2014","I","Indigencia","without_transfers","17.40175"
"2014","I","Indigencia","difference","4.78049"
"2014","II","Indigencia","with_transfers","12.07355"
"2014","II","Indigencia","without_transfers","17.36652"
"2014","II","Indigencia","difference","5.29297"
"2015","I","Indigencia","with_transfers","9.93107"
"2015","I","Indigencia","without_transfers","14.27678"
"2015","I","Indigencia","difference","4.34571"
"2015","II","Indigencia","with_transfers",""
"2015","II","Indigencia","without_transfers",""
"2015","II","Indigencia","difference",""
"2016","I","Indigencia","with_transfers",""
"2016","I","Indigencia","without_transfers",""
"2016","I","Indigencia","difference",""
"2016","II","Indigencia","with_transfers","9.98803"
"2016","II","Indigencia","without_transfers","14.18533"
"2016","II","Indigencia","difference","4.19731"
"2017","I","Indigencia","with_transfers","10.52076"
"2017","I","Indigencia","without_transfers","14.85253"
"2017","I","Indigencia","difference","4.33177"
"2017","II","Indigencia","with_transfers","7.81902"
"2017","II","Indigencia","without_transfers","11.58943"
"2017","II","Indigencia","difference","3.77041"
"2018","I","Indigencia","with_transfers","8.11374"
"2018","I","Indigencia","without_transfers","11.92793"
"2018","I","Indigencia","difference","3.81420"
"2018","II","Indigencia","with_transfers","11.11010"
"2018","II","Indigencia","without_transfers","15.96178"
"2018","II","Indigencia","difference","4.85168"
"2019","I","Indigencia","with_transfers","12.86217"
"2019","I","Indigencia","without_transfers","18.57689"
"2019","I","Indigencia","difference","5.71472"
"2019","II","Indigencia","with_transfers","14.16522"
"2019","II","Indigencia","without_transfers","20.31822"
"2019","II","Indigencia","difference","6.15301"
"2020","I","Indigencia","with_transfers","15.82266"
"2020","I","Indigencia","without_transfers","26.06615"
"2020","I","Indigencia","difference","10.24349"
"2020","II","Indigencia","with_transfers","16.01918"
"2020","II","Indigencia","without_transfers","28.31264"
"2020","II","Indigencia","difference","12.29345"
"2021","I","Indigencia","with_transfers","16.84586"
"2021","I","Indigencia","without_transfers","22.94831"
"2021","I","Indigencia","difference","6.10245"
"2021","II","Indigencia","with_transfers","12.85712"
"2021","II","Indigencia","without_transfers","19.74338"
"2021","II","Indigencia","difference","6.88626"
"2022","I","Indigencia","with_transfers","13.12620"
"2022","I","Indigencia","without_transfers","21.49705"
"2022","I","Indigencia","difference","8.37084"
"2022","II","Indigencia","with_transfers","12.02999"
"2022","II","Indigencia","without_transfers","21.47552"
"2022","II","Indigencia","difference","9.44553"
"2023","I","Indigencia","with_transfers","14.34060"
"2023","I","Indigencia","without_transfers","23.12973"
"2023","I","Indigencia","difference","8.78913"
"2023","II","Indigencia","with_transfers","19.98651"
"2023","II","Indigencia","without_transfers","27.01375"
"2023","II","Indigencia","difference","7.02724"
"2024","I","Indigencia","with_transfers","27.05066"
"2024","I","Indigencia","without_transfers","35.02624"
"2024","I","Indigencia","difference","7.97559"
"2024","II","Indigencia","with_transfers","12.26787"
"2024","II","Indigencia","without_transfers","16.75877"
"2024","II","Indigencia","difference","4.49090"
"2025","I","Indigencia","with_transfers","10.26393"
"2025","I","Indigencia","without_transfers","18.06422"
"2025","I","Indigencia","difference","7.80029"
"2003","II","Pobreza","with_transfers","74.64841"
"2003","II","Pobreza","without_transfers","75.26994"
"2003","II","Pobreza","difference","0.62153"
"2004","I","Pobreza","with_transfers","72.00371"
"2004","I","Pobreza","without_transfers","72.33338"
"2004","I","Pobreza","difference","0.32968"
"2004","II","Pobreza","with_transfers","68.92257"
"2004","II","Pobreza","without_transfers","69.45216"
"2004","II","Pobreza","difference","0.52959"
"2005","I","Pobreza","with_transfers","67.36749"
"2005","I","Pobreza","without_transfers","67.83611"
"2005","I","Pobreza","difference","0.46862"
"2005","II","Pobreza","with_transfers","63.09357"
"2005","II","Pobreza","without_transfers","63.66524"
"2005","II","Pobreza","difference","0.57167"
"2006","I","Pobreza","with_transfers","60.13824"
"2006","I","Pobreza","without_transfers","60.73225"
"2006","I","Pobreza","difference","0.59401"
"2006","II","Pobreza","with_transfers","55.84842"
