"year","semester","region","poverty_line","poverty_rate"
"2003","II","Total","Indigencia","22.119026"
"2003","II","Partidos del GBA","Indigencia","23.573105"
"2003","II","CABA","Indigencia","6.1891608"
"2003","II","Pampeana","Indigencia","22.91073"
"2003","II","NEA","Indigencia","36.925259"
"2003","II","NOA","Indigencia","29.171865"
"2003","II","Cuyo","Indigencia","22.980057"
"2003","II","Patagonia","Indigencia","14.006964"
"2004","I","Total","Indigencia","20.495039"
"2004","I","Partidos del GBA","Indigencia","21.754671"
"2004","I","CABA","Indigencia","7.5653095"
"2004","I","Pampeana","Indigencia","19.369146"
"2004","I","NEA","Indigencia","33.345222"
"2004","I","NOA","Indigencia","29.927271"
"2004","I","Cuyo","Indigencia","20.191139"
"2004","I","Patagonia","Indigencia","15.14985"
"2004","II","Total","Indigencia","16.759447"
"2004","II","Partidos del GBA","Indigencia","17.984987"
"2004","II","CABA","Indigencia","4.5169177"
"2004","II","Pampeana","Indigencia","16.122118"
"2004","II","NEA","Indigencia","30.102831"
"2004","II","NOA","Indigencia","24.401871"
"2004","II","Cuyo","Indigencia","16.330818"
"2004","II","Patagonia","Indigencia","9.7288542"
"2005","I","Total","Indigencia","14.858816"
"2005","I","Partidos del GBA","Indigencia","15.79732"
"2005","I","CABA","Indigencia","3.7420299"
"2005","I","Pampeana","Indigencia","14.883059"
"2005","I","NEA","Indigencia","26.610062"
"2005","I","NOA","Indigencia","21.428711"
"2005","I","Cuyo","Indigencia","13.280935"
"2005","I","Patagonia","Indigencia","10.717515"
"2005","II","Total","Indigencia","13.428152"
"2005","II","Partidos del GBA","Indigencia","14.052941"
"2005","II","CABA","Indigencia","3.6260829"
"2005","II","Pampeana","Indigencia","13.074072"
"2005","II","NEA","Indigencia","24.015942"
"2005","II","NOA","Indigencia","20.235401"
"2005","II","Cuyo","Indigencia","13.496458"
"2005","II","Patagonia","Indigencia","8.0739985"
"2006","I","Total","Indigencia","12.213194"
"2006","I","Partidos del GBA","Indigencia","12.626237"
"2006","I","CABA","Indigencia","4.681654"
"2006","I","Pampeana","Indigencia","11.464532"
"2006","I","NEA","Indigencia","24.810068"
"2006","I","NOA","Indigencia","17.796471"
"2006","I","Cuyo","Indigencia","10.338384"
"2006","I","Patagonia","Indigencia","7.7234101"
"2006","II","Total","Indigencia","9.9921942"
"2006","II","Partidos del GBA","Indigencia","10.432596"
"2006","II","CABA","Indigencia","3.4581349"
"2006","II","Pampeana","Indigencia","9.4244967"
"2006","II","NEA","Indigencia","19.732792"
"2006","II","NOA","Indigencia","14.933594"
"2006","II","Cuyo","Indigencia","8.2559481"
"2006","II","Patagonia","Indigencia","6.1013193"
"2007","I","Total","Indigencia","10.002906"
"2007","I","Partidos del GBA","Indigencia","10.824128"
"2007","I","CABA","Indigencia","3.4187694"
"2007","I","Pampeana","Indigencia","8.4330873"
"2007","I","NEA","Indigencia","20.09395"
"2007","I","NOA","Indigencia","14.868845"
"2007","I","Cuyo","Indigencia","9.8361225"
"2007","I","Patagonia","Indigencia","4.3161221"
"2007","II","Total","Indigencia","9.8287392"
"2007","II","Partidos del GBA","Indigencia","10.762126"
"2007","II","CABA","Indigencia","4.4115033"
"2007","II","Pampeana","Indigencia","7.619946"
"2007","II","NEA","Indigencia","20.980993"
"2007","II","NOA","Indigencia","14.159217"
"2007","II","Cuyo","Indigencia","8.7994061"
"2007","II","Patagonia","Indigencia","4.2784886"
"2008","I","Total","Indigencia","10.23508"
"2008","I","Partidos del GBA","Indigencia","11.233422"
"2008","I","CABA","Indigencia","3.5799162"
"2008","I","Pampeana","Indigencia","8.5277061"
"2008","I","NEA","Indigencia","20.861889"
"2008","I","NOA","Indigencia","15.344945"
"2008","I","Cuyo","Indigencia","8.778904"
"2008","I","Patagonia","Indigencia","4.2499375"
"2008","II","Total","Indigencia","8.9870033"
"2008","II","Partidos del GBA","Indigencia","9.2522831"
"2008","II","CABA","Indigencia","3.8962297"
"2008","II","Pampeana","Indigencia","8.3795719"
"2008","II","NEA","Indigencia","17.822157"
"2008","II","NOA","Indigencia","12.717042"
"2008","II","Cuyo","Indigencia","8.160984"
"2008","II","Patagonia","Indigencia","4.5565476"
"2009","I","Total","Indigencia","8.3470583"
"2009","I","Partidos del GBA","Indigencia","7.4871278"
"2009","I","CABA","Indigencia","4.6382055"
"2009","I","Pampeana","Indigencia","8.5410004"
"2009","I","NEA","Indigencia","16.359028"
"2009","I","NOA","Indigencia","12.937897"
"2009","I","Cuyo","Indigencia","7.7929902"
"2009","I","Patagonia","Indigencia","5.7486877"
"2009","II","Total","Indigencia","8.3401184"
"2009","II","Partidos del GBA","Indigencia","8.7396927"
"2009","II","CABA","Indigencia","3.2820871"
"2009","II","Pampeana","Indigencia","8.1805925"
"2009","II","NEA","Indigencia","15.918026"
"2009","II","NOA","Indigencia","9.7274418"
"2009","II","Cuyo","Indigencia","9.4292984"
"2009","II","Patagonia","Indigencia","4.0376735"
"2010","I","Total","Indigencia","8.7146273"
"2010","I","Partidos del GBA","Indigencia","8.9637241"
"2010","I","CABA","Indigencia","3.1655195"
"2010","I","Pampeana","Indigencia","8.9018278"
"2010","I","NEA","Indigencia","17.242222"
"2010","I","NOA","Indigencia","10.62308"
"2010","I","Cuyo","Indigencia","8.079299"
"2010","I","Patagonia","Indigencia","6.3518615"
"2010","II","Total","Indigencia","8.2804432"
"2010","II","Partidos del GBA","Indigencia","7.6817222"
"2010","II","CABA","Indigencia","4.1847448"
"2010","II","Pampeana","Indigencia","8.7461376"
"2010","II","NEA","Indigencia","17.244368"
"2010","II","NOA","Indigencia","10.138818"
"2010","II","Cuyo","Indigencia","9.3729515"
"2010","II","Patagonia","Indigencia","4.9084263"
"2011","I","Total","Indigencia","7.3195572"
"2011","I","Partidos del GBA","Indigencia","7.8602443"
"2011","I","CABA","Indigencia","2.1448975"
"2011","I","Pampeana","Indigencia","7.0055733"
"2011","I","NEA","Indigencia","14.695912"
"2011","I","NOA","Indigencia","9.3927946"
"2011","I","Cuyo","Indigencia","6.6762514"
"2011","I","Patagonia","Indigencia","4.3828158"
"2011","II","Total","Indigencia","6.4116035"
"2011","II","Partidos del GBA","Indigencia","6.0416679"
"2011","II","CABA","Indigencia","2.0036225"
"2011","II","Pampeana","Indigencia","6.9199905"
"2011","II","NEA","Indigencia","13.739354"
"2011","II","NOA","Indigencia","8.3648148"
"2011","II","Cuyo","Indigencia","7.2334237"
"2011","II","Patagonia","Indigencia","3.8963161"
"2012","I","Total","Indigencia","6.492394"
"2012","I","Partidos del GBA","Indigencia","7.5973649"
"2012","I","CABA","Indigencia","3.499167"
"2012","I","Pampeana","Indigencia","5.8620543"
"2012","I","NEA","Indigencia","9.3424959"
"2012","I","NOA","Indigencia","6.9374056"
"2012","I","Cuyo","Indigencia","5.7066884"
"2012","I","Patagonia","Indigencia","2.8174593"
"2012","II","Total","Indigencia","6.4075885"
"2012","II","Partidos del GBA","Indigencia","7.5485802"
"2012","II","CABA","Indigencia","1.4901214"
"2012","II","Pampeana","Indigencia","6.3847995"
"2012","II","NEA","Indigencia","9.9160337"
"2012","II","NOA","Indigencia","6.4319057"
"2012","II","Cuyo","Indigencia","6.131979"
"2012","II","Patagonia","Indigencia","4.7282944"
"2013","I","Total","Indigencia","5.7042084"
"2013","I","Partidos del GBA","Indigencia","6.3193965"
"2013","I","CABA","Indigencia","2.199825"
"2013","I","Pampeana","Indigencia","5.4448514"
"2013","I","NEA","Indigencia","12.202798"
"2013","I","NOA","Indigencia","6.2645035"
"2013","I","Cuyo","Indigencia","3.705662"
"2013","I","Patagonia","Indigencia","3.8562181"
"2013","II","Total","Indigencia","6.2345181"
"2013","II","Partidos del GBA","Indigencia","7.4360104"
"2013","II","CABA","Indigencia","2.5252075"
"2013","II","Pampeana","Indigencia","5.6508803"
"2013","II","NEA","Indigencia","10.784472"
