"year","semester","poverty_line","pov_type","poverty_rate"
"2003","II","Indigencia","with_transfers","22.11903"
"2003","II","Indigencia","without_transfers","23.81666"
"2003","II","Indigencia","difference","1.69763"
"2004","I","Indigencia","with_transfers","20.49504"
"2004","I","Indigencia","without_transfers","22.01732"
"2004","I","Indigencia","difference","1.52229"
"2004","II","Indigencia","with_transfers","16.75945"
"2004","II","Indigencia","without_transfers","18.43994"
"2004","II","Indigencia","difference","1.68049"
"2005","I","Indigencia","with_transfers","14.85882"
"2005","I","Indigencia","without_transfers","16.73847"
"2005","I","Indigencia","difference","1.87965"
"2005","II","Indigencia","with_transfers","13.42815"
"2005","II","Indigencia","without_transfers","15.00487"
"2005","II","Indigencia","difference","1.57672"
"2006","I","Indigencia","with_transfers","12.21319"
"2006","I","Indigencia","without_transfers","13.59821"
"2006","I","Indigencia","difference","1.38501"
"2006","II","Indigencia","with_transfers","9.99219"
"2006","II","Indigencia","without_transfers","11.44537"
"2006","II","Indigencia","difference","1.45318"
"2007","I","Indigencia","with_transfers","10.00291"
"2007","I","Indigencia","without_transfers","11.41480"
"2007","I","Indigencia","difference","1.41190"
"2007","II","Indigencia","with_transfers","9.82874"
"2007","II","Indigencia","without_transfers","11.17623"
"2007","II","Indigencia","difference","1.34749"
"2008","I","Indigencia","with_transfers","10.23508"
"2008","I","Indigencia","without_transfers","11.48539"
"2008","I","Indigencia","difference","1.25031"
"2008","II","Indigencia","with_transfers","8.98700"
"2008","II","Indigencia","without_transfers","10.37004"
"2008","II","Indigencia","difference","1.38304"
"2009","I","Indigencia","with_transfers","8.34706"
"2009","I","Indigencia","without_transfers","9.77696"
"2009","I","Indigencia","difference","1.42990"
"2009","II","Indigencia","with_transfers","8.34012"
"2009","II","Indigencia","without_transfers","9.74579"
"2009","II","Indigencia","difference","1.40568"
"2010","I","Indigencia","with_transfers","8.71463"
"2010","I","Indigencia","without_transfers","10.81380"
"2010","I","Indigencia","difference","2.09918"
"2010","II","Indigencia","with_transfers","8.28044"
"2010","II","Indigencia","without_transfers","10.52245"
"2010","II","Indigencia","difference","2.24201"
"2011","I","Indigencia","with_transfers","7.31956"
"2011","I","Indigencia","without_transfers","9.22489"
"2011","I","Indigencia","difference","1.90534"
"2011","II","Indigencia","with_transfers","6.41160"
"2011","II","Indigencia","without_transfers","8.34988"
"2011","II","Indigencia","difference","1.93828"
"2012","I","Indigencia","with_transfers","6.49239"
"2012","I","Indigencia","without_transfers","8.66659"
"2012","I","Indigencia","difference","2.17420"
"2012","II","Indigencia","with_transfers","6.40759"
"2012","II","Indigencia","without_transfers","7.87753"
"2012","II","Indigencia","difference","1.46994"
