"year","semester","gender","poverty_line","poverty_rate"
"2003","II","Total","Indigencia","22.12101"
"2003","II","Varon","Indigencia","22.64838"
"2003","II","Mujer","Indigencia","21.63530"
"2004","I","Total","Indigencia","20.49504"
"2004","I","Varon","Indigencia","20.61252"
"2004","I","Mujer","Indigencia","20.38683"
"2004","II","Total","Indigencia","16.75945"
"2004","II","Varon","Indigencia","17.09318"
"2004","II","Mujer","Indigencia","16.45203"
"2005","I","Total","Indigencia","14.85882"
"2005","I","Varon","Indigencia","15.19686"
"2005","I","Mujer","Indigencia","14.54740"
"2005","II","Total","Indigencia","13.42815"
"2005","II","Varon","Indigencia","13.45519"
"2005","II","Mujer","Indigencia","13.40324"
"2006","I","Total","Indigencia","12.21319"
"2006","I","Varon","Indigencia","12.21798"
"2006","I","Mujer","Indigencia","12.20878"
"2006","II","Total","Indigencia","9.99219"
"2006","II","Varon","Indigencia","10.24559"
"2006","II","Mujer","Indigencia","9.75871"
"2007","I","Total","Indigencia","10.00291"
"2007","I","Varon","Indigencia","9.89422"
"2007","I","Mujer","Indigencia","10.10307"
"2007","II","Total","Indigencia","9.82874"
"2007","II","Varon","Indigencia","9.67993"
"2007","II","Mujer","Indigencia","9.96587"
"2008","I","Total","Indigencia","10.23508"
"2008","I","Varon","Indigencia","10.28767"
"2008","I","Mujer","Indigencia","10.18661"
"2008","II","Total","Indigencia","8.98700"
"2008","II","Varon","Indigencia","9.07277"
"2008","II","Mujer","Indigencia","8.90795"
"2009","I","Total","Indigencia","8.34710"
"2009","I","Varon","Indigencia","8.27486"
"2009","I","Mujer","Indigencia","8.41369"
"2009","II","Total","Indigencia","8.34012"
"2009","II","Varon","Indigencia","8.30152"
"2009","II","Mujer","Indigencia","8.37570"
"2010","I","Total","Indigencia","8.71463"
"2010","I","Varon","Indigencia","8.74393"
"2010","I","Mujer","Indigencia","8.68762"
"2010","II","Total","Indigencia","8.28044"
"2010","II","Varon","Indigencia","8.39766"
"2010","II","Mujer","Indigencia","8.17238"
"2011","I","Total","Indigencia","7.31956"
"2011","I","Varon","Indigencia","7.47657"
"2011","I","Mujer","Indigencia","7.17158"
"2011","II","Total","Indigencia","6.41160"
"2011","II","Varon","Indigencia","6.72809"
"2011","II","Mujer","Indigencia","6.11452"
"2012","I","Total","Indigencia","6.49239"
"2012","I","Varon","Indigencia","6.36733"
"2012","I","Mujer","Indigencia","6.60976"
"2012","II","Total","Indigencia","6.40759"
"2012","II","Varon","Indigencia","6.26058"
"2012","II","Mujer","Indigencia","6.54566"
"2013","I","Total","Indigencia","5.70421"
"2013","I","Varon","Indigencia","5.66815"
"2013","I","Mujer","Indigencia","5.73804"
"2013","II","Total","Indigencia","6.23452"
"2013","II","Varon","Indigencia","6.23790"
"2013","II","Mujer","Indigencia","6.23135"
"2014","I","Total","Indigencia","7.61128"
"2014","I","Varon","Indigencia","7.61124"
"2014","I","Mujer","Indigencia","7.61132"
"2014","II","Total","Indigencia","7.16388"
"2014","II","Varon","Indigencia","7.09927"
"2014","II","Mujer","Indigencia","7.22402"
"2015","I","Total","Indigencia","5.99200"
"2015","I","Varon","Indigencia","5.98666"
"2015","I","Mujer","Indigencia","5.99699"
"2015","II","Total","Indigencia",""
"2015","II","Varon","Indigencia",""
"2015","II","Mujer","Indigencia",""
"2016","I","Total","Indigencia",""
"2016","I","Varon","Indigencia",""
"2016","I","Mujer","Indigencia",""
"2016","II","Total","Indigencia","6.14861"
"2016","II","Varon","Indigencia","6.27253"
"2016","II","Mujer","Indigencia","6.03492"
"2017","I","Total","Indigencia","6.15111"
"2017","I","Varon","Indigencia","6.36268"
"2017","I","Mujer","Indigencia","5.95573"
"2017","II","Total","Indigencia","4.76038"
"2017","II","Varon","Indigencia","4.85708"
"2017","II","Mujer","Indigencia","4.67128"
"2018","I","Total","Indigencia","4.88145"
"2018","I","Varon","Indigencia","5.09479"
"2018","I","Mujer","Indigencia","4.68471"
"2018","II","Total","Indigencia","6.68430"
"2018","II","Varon","Indigencia","6.86832"
"2018","II","Mujer","Indigencia","6.51568"
"2019","I","Total","Indigencia","7.61163"
"2019","I","Varon","Indigencia","7.86620"
"2019","I","Mujer","Indigencia","7.37426"
"2019","II","Total","Indigencia","8.14301"
"2019","II","Varon","Indigencia","8.54785"
"2019","II","Mujer","Indigencia","7.76603"
