"year","semester","educ_level","poverty_line","poverty_rate"
"2003","II","Todos","Indigencia","18.367205"
"2003","II","Primaria_o_menos","Indigencia","31.857697"
"2003","II","Secu_incompleta","Indigencia","21.293451"
"2003","II","Secu_completa","Indigencia","11.718239"
"2003","II","Supe_incompleta","Indigencia","7.8605676"
"2003","II","Supe_completa","Indigencia","4.7238007"
"2004","I","Todos","Indigencia","15.998127"
"2004","I","Primaria_o_menos","Indigencia","27.333967"
"2004","I","Secu_incompleta","Indigencia","19.399914"
"2004","I","Secu_completa","Indigencia","10.851694"
"2004","I","Supe_incompleta","Indigencia","6.4046664"
"2004","I","Supe_completa","Indigencia","3.1658034"
"2004","II","Todos","Indigencia","13.540435"
"2004","II","Primaria_o_menos","Indigencia","24.952276"
"2004","II","Secu_incompleta","Indigencia","15.837452"
"2004","II","Secu_completa","Indigencia","8.3909664"
"2004","II","Supe_incompleta","Indigencia","4.5013704"
"2004","II","Supe_completa","Indigencia","1.8924683"
"2005","I","Todos","Indigencia","11.73076"
"2005","I","Primaria_o_menos","Indigencia","21.470081"
"2005","I","Secu_incompleta","Indigencia","13.71927"
"2005","I","Secu_completa","Indigencia","7.3120956"
"2005","I","Supe_incompleta","Indigencia","4.1811275"
"2005","I","Supe_completa","Indigencia","1.7469971"
"2005","II","Todos","Indigencia","10.389999"
"2005","II","Primaria_o_menos","Indigencia","20.141809"
"2005","II","Secu_incompleta","Indigencia","13.345828"
"2005","II","Secu_completa","Indigencia","5.3878922"
"2005","II","Supe_incompleta","Indigencia","2.8382201"
"2005","II","Supe_completa","Indigencia","1.6706094"
"2006","I","Todos","Indigencia","9.1858091"
"2006","I","Primaria_o_menos","Indigencia","17.63238"
"2006","I","Secu_incompleta","Indigencia","10.473051"
"2006","I","Secu_completa","Indigencia","5.572516"
"2006","I","Supe_incompleta","Indigencia","3.8668687"
"2006","I","Supe_completa","Indigencia","1.3840027"
"2006","II","Todos","Indigencia","7.4646358"
"2006","II","Primaria_o_menos","Indigencia","15.486513"
"2006","II","Secu_incompleta","Indigencia","8.3271933"
"2006","II","Secu_completa","Indigencia","4.2030225"
"2006","II","Supe_incompleta","Indigencia","2.5040927"
"2006","II","Supe_completa","Indigencia","0.90527022"
"2007","I","Todos","Indigencia","7.670435"
"2007","I","Primaria_o_menos","Indigencia","15.071604"
"2007","I","Secu_incompleta","Indigencia","9.2463017"
"2007","I","Secu_completa","Indigencia","4.8405943"
"2007","I","Supe_incompleta","Indigencia","2.8422604"
