anio,comp_dem_ag,valor
1935,Consumo hogares,75.74679176
1936,Consumo hogares,74.06615776
1937,Consumo hogares,70.18008475
1938,Consumo hogares,76.0757315
1939,Consumo hogares,73.65651686
1940,Consumo hogares,75.65217391
1941,Consumo hogares,74.26864282
1942,Consumo hogares,73.19417742
1943,Consumo hogares,67.24104171
1944,Consumo hogares,66.20378307
1945,Consumo hogares,65.23629587
1946,Consumo hogares,65.48415459
1947,Consumo hogares,66.62215917
1948,Consumo hogares,62.73972603
1949,Consumo hogares,65.45022345
1950,Consumo hogares,69.38534279
1951,Consumo hogares,73.04598886
1952,Consumo hogares,74.00641597
1953,Consumo hogares,71.04369307
1954,Consumo hogares,72.61705686
1955,Consumo hogares,73.22249735
1956,Consumo hogares,73.53086865
1957,Consumo hogares,74.97278505
1958,Consumo hogares,72.866597
1959,Consumo hogares,74.890218
1960,Consumo hogares,71.46483603
1961,Consumo hogares,71.166686
1962,Consumo hogares,69.61021388
1963,Consumo hogares,70.94087591
1964,Consumo hogares,74.11139421
1965,Consumo hogares,72.60804695
1966,Consumo hogares,70.12774522
1967,Consumo hogares,70.04635743
1968,Consumo hogares,70.3933651
1969,Consumo hogares,69.86104645
1970,Consumo hogares,68.29487325
1971,Consumo hogares,69.43701013
1972,Consumo hogares,69.59283996
1973,Consumo hogares,67.67654059
1974,Consumo hogares,66.50005426
1975,Consumo hogares,61.86257613
1976,Consumo hogares,58.87887908
1977,Consumo hogares,60.02819706
1978,Consumo hogares,58.84929847
1979,Consumo hogares,63.865526
1980,Consumo hogares,65.80851349
1981,Consumo hogares,67.5041294
1982,Consumo hogares,67.32410658
1983,Consumo hogares,66.2832395
1984,Consumo hogares,67.47318096
1985,Consumo hogares,66.37078046
1986,Consumo hogares,69.79707953
1987,Consumo hogares,69.10763342
1988,Consumo hogares,66.97372814
1989,Consumo hogares,66.62808485
1990,Consumo hogares,68.23874376
1991,Consumo hogares,70.73726527
1992,Consumo hogares,71.51113845
1993,Consumo hogares,69.83763679
1994,Consumo hogares,69.95233194
1995,Consumo hogares,69.13931227
1996,Consumo hogares,70.08569977
1997,Consumo hogares,70.81186501
1998,Consumo hogares,70.1168688
1999,Consumo hogares,70.00886845
2000,Consumo hogares,70.65696405
