"geocodigoFundar","geonombreFundar","ultimo_anio_disponible","sector","valor","fuente"
"BGR","Bulgaria","2023","Gobierno","28.7440945122995","OECD"
"IRL","Irlanda","2023","Gobierno","2.21278991004426","OECD"
"KOR","Corea del Sur","2023","Org. priv. sin fines de lucro","2.05331851091787","OECD"
"LUX","Luxemburgo","2023","Educación Superior","27.2284467327228","OECD"
"TUR","Turquía","2023","Gobierno","4.85396154333978","OECD"
"EU27_2020","Unión Europea (27 países)","2023","Empresas (Públicas y Privadas)","66.2026362378759","OECD"
"PRT","Portugal","2023","Org. priv. sin fines de lucro","2.62533276197375","OECD"
"DEU","Alemania","2023","Empresas (Públicas y Privadas)","68.2508540334126","OECD"
"EU27_2020","Unión Europea (27 países)","2023","Educación Superior","21.5093549993119","OECD"
"BGR","Bulgaria","2023","Org. priv. sin fines de lucro","0.450905661036072","OECD"
"AUS","Australia","2021","Educación Superior","33.4653746417211","OECD"
"NOR","Noruega","2023","Gobierno","11.87494674","OECD"
"FRA","Francia","2023","Gobierno","11.4136653596576","OECD"
"CHE","Suiza","2021","Gobierno","0.939720237046986","OECD"
"TWN","Taiwán","2023","Empresas (Públicas y Privadas)","85.1270091265949","OECD"
"FRA","Francia","2023","Org. priv. sin fines de lucro","1.98213551294054","OECD"
"OECD","Países miembros de OCDE","2023","Educación Superior","15.8119054058841","OECD"
"HUN","Hungría","2023","Gobierno","11.0281885001784","OECD"
"ISR","Israel","2023","Org. priv. sin fines de lucro","0.595575186017867","OECD"
"SWE","Suecia","2023","Gobierno","4.10858845524652","OECD"
"SVK","Eslovaquia","2023","Educación Superior","26.3281682194734","OECD"
"POL","Polonia","2023","Org. priv. sin fines de lucro","0.214165652985008","OECD"
"BGR","Bulgaria","2023","Educación Superior","6.49475874151958","OECD"
"ISL","Islandia","2023","Gobierno","2.36243213804725","OECD"
"DNK","Dinamarca","2023","Org. priv. sin fines de lucro","0.265728936810473","OECD"
"OECD","Países miembros de OCDE","2023","Gobierno","8.52235166568691","OECD"
"CZE","Chequia","2023","Educación Superior","18.7563727516881","OECD"
"GBR","Reino Unido","2022","Educación Superior","23.0232984104605","OECD"
"IRL","Irlanda","2023","Org. priv. sin fines de lucro","0.30449206800609","OECD"
"EST","Estonia","2023","Empresas (Públicas y Privadas)","57.7636278211553","OECD"
"USA","Estados Unidos","2023","Org. priv. sin fines de lucro","2.96365442046435","OECD"
"POL","Polonia","2023","Empresas (Públicas y Privadas)","64.5544247154812","OECD"
"GRC","Grecia","2023","Educación Superior","29.2194418505844","OECD"
"SGP","Singapur","2022","Gobierno","22.3009265622301","OECD"
"HUN","Hungría","2023","Empresas (Públicas y Privadas)","73.1197454431419","OECD"
"AUT","Austria","2023","Educación Superior","23.0942772275784","OECD"
"CHL","Chile","2022","Org. priv. sin fines de lucro","6.57079563145996","OECD"
"USA","Estados Unidos","2023","Gobierno","7.93478704475464","OECD"
"GRC","Grecia","2023","Empresas (Públicas y Privadas)","49.3043596109861","OECD"
