"pais","anio","valor","medida","iso3"
"Guatemala","2022","40.8574","Publicaciones en SCOPUS en relacion al Gasto en I+D (cada millón de U$S PPC)","GTM"
"Trinidad y Tobago","2022","27.7751","Publicaciones en SCOPUS en relacion al Gasto en I+D (cada millón de U$S PPC)","TTO"
"Jamaica","2002","17.7334","Publicaciones en SCOPUS en relacion al Gasto en I+D (cada millón de U$S PPC)","JAM"
"Colombia","2022","11.8944","Publicaciones en SCOPUS en relacion al Gasto en I+D (cada millón de U$S PPC)","COL"
"Perú","2022","10.4184","Publicaciones en SCOPUS en relacion al Gasto en I+D (cada millón de U$S PPC)","PER"
"Chile","2021","10.1021","Publicaciones en SCOPUS en relacion al Gasto en I+D (cada millón de U$S PPC)","CHL"
"Honduras","2019","6.7828","Publicaciones en SCOPUS en relacion al Gasto en I+D (cada millón de U$S PPC)","HND"
"Portugal","2022","4.758","Publicaciones en SCOPUS en relacion al Gasto en I+D (cada millón de U$S PPC)","PRT"
"Paraguay","2022","4.3902","Publicaciones en SCOPUS en relacion al Gasto en I+D (cada millón de U$S PPC)","PRY"
"México","2022","4.261","Publicaciones en SCOPUS en relacion al Gasto en I+D (cada millón de U$S PPC)","MEX"
"Canadá","2021","3.8854","Publicaciones en SCOPUS en relacion al Gasto en I+D (cada millón de U$S PPC)","CAN"
"Costa Rica","2022","3.827","Publicaciones en SCOPUS en relacion al Gasto en I+D (cada millón de U$S PPC)","CRI"
"España","2022","3.6775","Publicaciones en SCOPUS en relacion al Gasto en I+D (cada millón de U$S PPC)","ESP"
"Uruguay","2022","3.3853","Publicaciones en SCOPUS en relacion al Gasto en I+D (cada millón de U$S PPC)","URY"
"Bolivia","2009","3.2693","Publicaciones en SCOPUS en relacion al Gasto en I+D (cada millón de U$S PPC)","BOL"
"Iberoamérica","2022","2.8897","Publicaciones en SCOPUS en relacion al Gasto en I+D (cada millón de U$S PPC)","RICYT_IBE"
"América Latina y el Caribe","2022","2.6344","Publicaciones en SCOPUS en relacion al Gasto en I+D (cada millón de U$S PPC)","LCN"
"Brasil","2020","2.5411","Publicaciones en SCOPUS en relacion al Gasto en I+D (cada millón de U$S PPC)","BRA"
"Argentina","2022","2.3209","Publicaciones en SCOPUS en relacion al Gasto en I+D (cada millón de U$S PPC)","ARG"
"El Salvador","2022","2.221","Publicaciones en SCOPUS en relacion al Gasto en I+D (cada millón de U$S PPC)","SLV"
"Puerto Rico","2015","1.5909","Publicaciones en SCOPUS en relacion al Gasto en I+D (cada millón de U$S PPC)","PRI"
"Ecuador","2014","1.2779","Publicaciones en SCOPUS en relacion al Gasto en I+D (cada millón de U$S PPC)","ECU"
"Estados Unidos","2022","0.7852","Publicaciones en SCOPUS en relacion al Gasto en I+D (cada millón de U$S PPC)","USA"
"Venezuela","2016","0.498","Publicaciones en SCOPUS en relacion al Gasto en I+D (cada millón de U$S PPC)","VEN"
"Guatemala","2022","667.9487","Publicaciones en SCOPUS cada 100 investigadores (EJC)","GTM"
"Colombia","2017","283.2056","Publicaciones en SCOPUS cada 100 investigadores (EJC)","COL"
"República Dominicana","2022","184.375","Publicaciones en SCOPUS cada 100 investigadores (EJC)","DOM"
"Chile","2021","166.2777","Publicaciones en SCOPUS cada 100 investigadores (EJC)","CHL"
"México","2022","95.3643","Publicaciones en SCOPUS cada 100 investigadores (EJC)","MEX"
"Trinidad y Tobago","2022","82.7211","Publicaciones en SCOPUS cada 100 investigadores (EJC)","TTO"
"Bolivia","2021","82.3644","Publicaciones en SCOPUS cada 100 investigadores (EJC)","BOL"
"Uruguay","2022","79.5112","Publicaciones en SCOPUS cada 100 investigadores (EJC)","URY"
"España","2022","75.9093","Publicaciones en SCOPUS cada 100 investigadores (EJC)","ESP"
"Costa Rica","2022","74.7974","Publicaciones en SCOPUS cada 100 investigadores (EJC)","CRI"
"El Salvador","2022","65.374","Publicaciones en SCOPUS cada 100 investigadores (EJC)","SLV"
"Paraguay","2022","64.6927","Publicaciones en SCOPUS cada 100 investigadores (EJC)","PRY"
"Portugal","2022","63.384","Publicaciones en SCOPUS cada 100 investigadores (EJC)","PRT"
"Canadá","2020","62.1848","Publicaciones en SCOPUS cada 100 investigadores (EJC)","CAN"
"Iberoamérica","2022","52.4383","Publicaciones en SCOPUS cada 100 investigadores (EJC)","RICYT_IBE"
"América Latina y el Caribe","2022","47.0684","Publicaciones en SCOPUS cada 100 investigadores (EJC)","LCN"
"Estados Unidos","2021","46.2366","Publicaciones en SCOPUS cada 100 investigadores (EJC)","USA"
"Honduras","2017","45.8716","Publicaciones en SCOPUS cada 100 investigadores (EJC)","HND"
"Brasil","2014","37.9868","Publicaciones en SCOPUS cada 100 investigadores (EJC)","BRA"
"Argentina","2022","29.1159","Publicaciones en SCOPUS cada 100 investigadores (EJC)","ARG"
"Ecuador","2014","16.5867","Publicaciones en SCOPUS cada 100 investigadores (EJC)","ECU"
"Venezuela","2022","14.6981","Publicaciones en SCOPUS cada 100 investigadores (EJC)","VEN"
"Nicaragua","1997","11.4706","Publicaciones en SCOPUS cada 100 investigadores (EJC)","NIC"
"Cuba","2022","11.2862","Publicaciones en SCOPUS cada 100 investigadores (EJC)","CUB"
