letra,anio,letra_desc_abrev,indice_salario,escala
A,1996,Agro,47.9175488995456,4.12243065169012
A,1997,Agro,49.1374545119536,4.42874052203082
A,1998,Agro,49.3050725711745,4.51165866433872
A,1999,Agro,49.0947430476039,4.562497749937
A,2000,Agro,47.3377047702742,4.56876761981474
A,2001,Agro,47.2646166387392,4.66079270031366
A,2002,Agro,48.3861932258899,4.46711329419287
A,2003,Agro,56.2176165803109,4.53280320828133
A,2004,Agro,58.1315537031524,4.67233331040886
A,2005,Agro,56.0378858879327,4.81497421044924
A,2006,Agro,55.9045321526411,4.8961905209263
A,2007,Agro,55.9723455170018,4.98040598225447
A,2008,Agro,57.4280819233396,5.15126257718241
A,2009,Agro,56.6793117673881,5.15864745519275
A,2010,Agro,57.3361846094922,5.13396556732872
A,2011,Agro,56.4311356761872,5.23060965599582
A,2012,Agro,56.2320923068981,5.20478590941334
A,2013,Agro,56.2876840555203,5.26563266119147
A,2014,Agro,54.6778324020844,5.39111271449635
A,2015,Agro,54.9802712952596,5.56792891010547
A,2016,Agro,55.8069899139745,5.5662697829389
A,2017,Agro,56.407890645199,5.71463987042607
A,2018,Agro,56.1946041224374,5.89699817258202
A,2019,Agro,56.962485599888,6.00661496350365
A,2020,Agro,62.9013271134477,5.8906468144516
A,2021,Agro,61.3502112186568,5.91369435373344
B,1996,Pesca,145.367562061506,39.9977678571429
B,1997,Pesca,142.921138698236,40.1491935483871
B,1998,Pesca,152.37096240893,38.5888671875
B,1999,Pesca,147.784189463421,34.1483208955224
B,2000,Pesca,161.959485342166,29.4235197368421
B,2001,Pesca,187.25601195598,33.4415584415584
B,2002,Pesca,222.327199862105,39.5535143769968
B,2003,Pesca,215.457368180433,41.7747747747748
B,2004,Pesca,193.882934735867,43.3564139941691
B,2005,Pesca,186.808809746954,41.3198630136986
B,2006,Pesca,232.029976810612,45.1035211267606
B,2007,Pesca,212.982457833185,44.313904494382
B,2008,Pesca,182.069657980882,41.9371508379888
B,2009,Pesca,169.502250372994,39.2222222222222
B,2010,Pesca,163.900830585584,39.775641025641
B,2011,Pesca,154.434634526326,41.2088068181818
B,2012,Pesca,142.680181149133,37.9459269662921
B,2013,Pesca,151.882462532414,37.6666666666667
B,2014,Pesca,165.947077550316,37.0767045454545
B,2015,Pesca,159.107030302865,39.4606060606061
B,2016,Pesca,182.881582245991,36.7665165165165
B,2017,Pesca,183.163036187703,37.5015384615385
B,2018,Pesca,240.506831166955,38.0068389057751
B,2019,Pesca,252.907242949214,38.1231003039514
B,2020,Pesca,222.346974263185,38.1261609907121
B,2021,Pesca,239.913768390477,38.9871987951807
C,1996,Petróleo y minería,236.834033397045,44.8957516339869
C,1997,Petróleo y minería,245.184025058731,45.390586797066
C,1998,Petróleo y minería,254.158733054374,47.3530135301353
C,1999,Petróleo y minería,254.88793406419,44.9834394904459
C,2000,Petróleo y minería,254.1213186417,46.552398989899
C,2001,Petróleo y minería,256.282550609121,49.5722733245729
C,2002,Petróleo y minería,289.499482892355,50.3176638176638
C,2003,Petróleo y minería,295.860637000914,50.3946684005202
C,2004,Petróleo y minería,283.325063676359,51.5078306264501
C,2005,Petróleo y minería,298.033285052966,53.6804531085353
C,2006,Petróleo y minería,300.265772580447,56.4070576540755
C,2007,Petróleo y minería,309.171523408854,58.6005036630037
C,2008,Petróleo y minería,323.862953465542,61.171697287839
C,2009,Petróleo y minería,327.031771978746,58.8783376399655
C,2010,Petróleo y minería,330.591967159584,60.2036480686695
C,2011,Petróleo y minería,337.585681857477,63.2655319148936
