"anio","letra","letra_desc_abrev","escala"
1996,"A","Agro",4.12243065169012
1996,"B","Pesca",39.9977678571429
1996,"C","Petróleo y minería",44.8957516339869
1996,"D","Industria manufacturera",18.578732708889
1996,"E","Electricidad, gas y agua",42.0197554092192
1996,"F","Construcción",15.835827216262
1996,"G","Comercio",5.85068376627625
1996,"H","Hotelería y restaurantes",7.50662684668128
1996,"I","Transporte y comunicaciones",10.5726949708455
1996,"J","Finanzas",33.6185488346282
1996,"K","Serv. inmobiliarios y profesionales",4.8350260960334
1996,"M","Enseñanza",24.1503862724707
1996,"N","Salud",10.3385318593209
1996,"O","Serv. comunitarios, sociales y personales",7.32132751354606
1996,"Z","Total",8.58522930104503
1997,"A","Agro",4.42874052203082
1997,"B","Pesca",40.1491935483871
1997,"C","Petróleo y minería",45.390586797066
1997,"D","Industria manufacturera",19.2607592596397
1997,"E","Electricidad, gas y agua",43.450611476952
1997,"F","Construcción",18.2334136606672
1997,"G","Comercio",6.29324945887446
1997,"H","Hotelería y restaurantes",8.00036990065525
1997,"I","Transporte y comunicaciones",10.5354151108802
1997,"J","Finanzas",35.688754747694
1997,"K","Serv. inmobiliarios y profesionales",5.23679972449837
1997,"M","Enseñanza",27.1921667588496
1997,"N","Salud",10.4985692995529
1997,"O","Serv. comunitarios, sociales y personales",7.53474583789218
1997,"Z","Total",9.12303678667927
1998,"A","Agro",4.51165866433872
1998,"B","Pesca",38.5888671875
1998,"C","Petróleo y minería",47.3530135301353
1998,"D","Industria manufacturera",19.5473099091338
1998,"E","Electricidad, gas y agua",44.4698712051518
1998,"F","Construcción",18.5821351294758
1998,"G","Comercio",6.65872748470457
1998,"H","Hotelería y restaurantes",8.4864248631963
1998,"I","Transporte y comunicaciones",10.7574804229257
1998,"J","Finanzas",37.29847006067
1998,"K","Serv. inmobiliarios y profesionales",5.58243430287919
1998,"M","Enseñanza",34.6725040257649
1998,"N","Salud",10.3052602692241
1998,"O","Serv. comunitarios, sociales y personales",7.77150380766201
1998,"Z","Total",9.54735371811955
1999,"A","Agro",4.562497749937
1999,"B","Pesca",34.1483208955224
1999,"C","Petróleo y minería",44.9834394904459
1999,"D","Industria manufacturera",19.487025377865
1999,"E","Electricidad, gas y agua",44.0569620253165
1999,"F","Construcción",18.9678210831039
1999,"G","Comercio",7.01229637119425
1999,"H","Hotelería y restaurantes",9.46360498862656
1999,"I","Transporte y comunicaciones",10.893732434801
1999,"J","Finanzas",40.394394744199
1999,"K","Serv. inmobiliarios y profesionales",5.72118253456906
1999,"M","Enseñanza",36.3455882352941
1999,"N","Salud",10.2792297313153
1999,"O","Serv. comunitarios, sociales y personales",7.95954299421823
1999,"Z","Total",9.76641769620296
2000,"A","Agro",4.56876761981474
2000,"B","Pesca",29.4235197368421
2000,"C","Petróleo y minería",46.552398989899
2000,"D","Industria manufacturera",19.2600555095463
2000,"E","Electricidad, gas y agua",44.3419017288444
2000,"F","Construcción",16.7047457382259
2000,"G","Comercio",7.06163210048535
2000,"H","Hotelería y restaurantes",10.0672032028761
2000,"I","Transporte y comunicaciones",10.9172005318506
2000,"J","Finanzas",39.5225443951165
2000,"K","Serv. inmobiliarios y profesionales",5.82790040814717
2000,"M","Enseñanza",37.4555398492192
2000,"N","Salud",10.2928433608139
2000,"O","Serv. comunitarios, sociales y personales",7.98162399753239
2000,"Z","Total",9.70558153375276
2001,"A","Agro",4.66079270031366
2001,"B","Pesca",33.4415584415584
2001,"C","Petróleo y minería",49.5722733245729
2001,"D","Industria manufacturera",19.5840958631758
2001,"E","Electricidad, gas y agua",44.1828661844485
2001,"F","Construcción",16.9383956514577
2001,"G","Comercio",7.4069230136922
2001,"H","Hotelería y restaurantes",10.6383753379262
2001,"I","Transporte y comunicaciones",11.2935782013217
2001,"J","Finanzas",39.0612303290415
2001,"K","Serv. inmobiliarios y profesionales",5.86806366603779
2001,"M","Enseñanza",39.2700490998363
2001,"N","Salud",10.4410471388368
2001,"O","Serv. comunitarios, sociales y personales",8.18244933502217
2001,"Z","Total",9.89403584524263
2002,"A","Agro",4.46711329419287
2002,"B","Pesca",39.5535143769968
2002,"C","Petróleo y minería",50.3176638176638
2002,"D","Industria manufacturera",18.824893731435
2002,"E","Electricidad, gas y agua",42.25864422202
2002,"F","Construcción",11.8786757593345
2002,"G","Comercio",7.06383793477043
2002,"H","Hotelería y restaurantes",10.1926221934769
2002,"I","Transporte y comunicaciones",11.377755159343
