anio,letra,letra_desc_abrev,va_por_trabajador,indice_va_trab
2016,A,Agro,370.037752452843,106.623404921155
2017,A,Agro,391.882894757892,88.6514312624134
2018,A,Agro,451.515529026916,74.4418653340575
2019,A,Agro,772.315537823966,89.0678855946812
2020,A,Agro,1196.18553830609,101.394619374003
2021,A,Agro,2329.96834706868,123.760794853186
2022,A,Agro,3839.1006919288,121.374777182825
2023,A,Agro,8133.33086134933,114.764713344066
2016,B,Pesca,1024.57460995493,295.222940862178
2017,B,Pesca,1252.94242185698,283.439620541842
2018,B,Pesca,2458.52220343636,405.339278548026
2019,B,Pesca,3424.63302811393,394.948447639988
2020,B,Pesca,4325.35513927365,366.638555608262
2021,B,Pesca,6727.39462582906,357.338633905104
2022,B,Pesca,9145.33687263924,289.133657658972
2023,B,Pesca,18446.6519709796,260.290004390159
2016,C,Petróleo y minería,2646.2814968428,762.504749050402
2017,C,Petróleo y minería,3273.5947918385,740.54996416457
2018,C,Petróleo y minería,5738.6060623692,946.130337135377
2019,C,Petróleo y minería,8352.6133295354,963.271580095074
2020,C,Petróleo y minería,8501.91665335448,720.664625520478
2021,C,Petróleo y minería,16488.4865705202,875.817994034539
2022,C,Petróleo y minería,27261.1493057318,861.87265931505
2023,C,Petróleo y minería,63335.7297778539,893.693739539667
2016,D,Industria manufacturera,475.444253065613,136.995441076005
2017,D,Industria manufacturera,586.232832881032,132.617116957938
2018,D,Industria manufacturera,897.969612597212,148.04924455002
2019,D,Industria manufacturera,1249.88397458004,144.143834226335
2020,D,Industria manufacturera,1757.63650010046,148.985987723868
2021,D,Industria manufacturera,3119.27386391394,165.686290652161
2022,D,Industria manufacturera,5147.78481456544,162.749374135092
2023,D,Industria manufacturera,11860.0446519275,167.350209640983
2016,E,"Electricidad, gas y agua",986.717930981205,284.314843014243
2017,E,"Electricidad, gas y agua",1465.12251871201,331.438830313979
2018,E,"Electricidad, gas y agua",2104.91172976066,347.039128121727
2019,E,"Electricidad, gas y agua",3031.42320017594,349.60122069158
2020,E,"Electricidad, gas y agua",3168.82533571488,268.605353006106
2021,E,"Electricidad, gas y agua",3280.20586512512,174.234506516238
2022,E,"Electricidad, gas y agua",4929.70005623131,155.854533110103
2023,E,"Electricidad, gas y agua",12250.8135647052,172.86412306996
2016,F,Construcción,196.51146240544,56.623198819082
2017,F,Construcción,271.971130848363,61.5250890872901
2018,F,Construcción,343.29331209736,56.5991485703935
2019,F,Construcción,478.776778054953,55.2153015247356
2020,F,Construcción,599.840146044508,50.8454260194087
2021,F,Construcción,1004.59398033433,53.3609607475228
2022,F,Construcción,1705.91412764983,53.93319002334
2023,F,Construcción,3987.08976012608,56.2595105496569
2016,G,Comercio,316.450344928795,91.1826240461288
2017,G,Comercio,412.127571762747,93.2311657084254
2018,G,Comercio,611.880520833496,100.881419140968
2019,G,Comercio,876.781684911026,101.115524650971
2020,G,Comercio,1343.62169498661,113.892039305828
2021,G,Comercio,2076.28443468855,110.285881051404
2022,G,Comercio,3488.20793811165,110.281155726331
2023,G,Comercio,7913.07891912051,111.656865963421
2016,H,Hotelería y restaurantes,259.501870123445,74.7733786419405
2017,H,Hotelería y restaurantes,343.419116337796,77.6879945347646
2018,H,Hotelería y restaurantes,433.797026584939,71.5205962128172
2019,H,Hotelería y restaurantes,623.828640211795,71.943519501914
2020,H,Hotelería y restaurantes,569.890528440011,48.306747879473
2021,H,Hotelería y restaurantes,1009.96074947596,53.6460271157407
2022,H,Hotelería y restaurantes,2234.20178158771,70.6352255859791
2023,H,Hotelería y restaurantes,5451.81216298854,76.9273586378207
2016,I,Transporte y comunicaciones,378.611313023657,109.093807506563
2017,I,Transporte y comunicaciones,504.8912521913,114.21609041212
2018,I,Transporte y comunicaciones,652.276544789499,107.54155635008
2019,I,Transporte y comunicaciones,1046.33032207272,120.668852116064
2020,I,Transporte y comunicaciones,1335.3848259194,113.193841428359
2021,I,Transporte y comunicaciones,1862.75086346114,98.9436306143148
2022,I,Transporte y comunicaciones,3099.14928027034,97.9809032203685
2023,I,Transporte y comunicaciones,6417.50122823561,90.5536368062454
