"anio","geocodigoFundar","geonombreFundar","intensidad_id_ocde_desc","vab","prop_vab"
"1995","AGO","Angola","Baja intensidad de I+D","201.503","0.517627324150616"
"1995","AGO","Angola","Media y alta intensidad de I+D","187.779","0.482372675849384"
"1995","APEC","Cooperación Económica Asia-Pacífico","Baja intensidad de I+D","1237794.089","0.338102482647143"
"1995","APEC","Cooperación Económica Asia-Pacífico","Media y alta intensidad de I+D","2423208.573","0.661897517352857"
"1995","ARE","Emiratos Árabes Unidos","Baja intensidad de I+D","4007.657","0.492166236250433"
"1995","ARE","Emiratos Árabes Unidos","Media y alta intensidad de I+D","4135.236","0.507833763749567"
"1995","ARG","Argentina","Baja intensidad de I+D","27556.747","0.492574316359845"
"1995","ARG","Argentina","Media y alta intensidad de I+D","28387.597","0.507425683640155"
"1995","ASEAN","Asociación de Naciones del Sudeste Asiático","Baja intensidad de I+D","81156.928","0.517391730072663"
"1995","ASEAN","Asociación de Naciones del Sudeste Asiático","Media y alta intensidad de I+D","75700.871","0.482608269927337"
"1995","AUS","Australia","Baja intensidad de I+D","25063.009","0.464772344061962"
"1995","AUS","Australia","Media y alta intensidad de I+D","28862.336","0.535227655938038"
"1995","AUT","Austria","Baja intensidad de I+D","19427.155","0.412593864780093"
"1995","AUT","Austria","Media y alta intensidad de I+D","27658.264","0.587406135219907"
"1995","BEL","Bélgica","Baja intensidad de I+D","20439.323","0.354809238323451"
"1995","BEL","Bélgica","Media y alta intensidad de I+D","37167.19","0.645190761676549"
"1995","BGD","Bangladesh","Baja intensidad de I+D","6032.005","0.743542788620896"
"1995","BGD","Bangladesh","Media y alta intensidad de I+D","2080.514","0.256457211379104"
"1995","BGR","Bulgaria","Baja intensidad de I+D","914.679","0.561136236478926"
"1995","BGR","Bulgaria","Media y alta intensidad de I+D","715.369","0.438863763521074"
"1995","BLR","Belarús","Baja intensidad de I+D","2311.692","0.506265431436352"
"1995","BLR","Belarús","Media y alta intensidad de I+D","2254.474","0.493734568563648"
"1995","BRA","Brasil","Baja intensidad de I+D","61506.351","0.495687912106829"
"1995","BRA","Brasil","Media y alta intensidad de I+D","62576.463","0.504312087893171"
"1995","BRN","Brunei","Baja intensidad de I+D","644.17","0.954896034224878"
"1995","BRN","Brunei","Media y alta intensidad de I+D","30.427","0.045103965775122"
"1995","CAN","Canadá","Baja intensidad de I+D","42711.222","0.38726918757157"
"1995","CAN","Canadá","Media y alta intensidad de I+D","67576.979","0.61273081242843"
"1995","CHE","Suiza","Baja intensidad de I+D","20126.597","0.29581961200571"
