geocodigoFundar,geonombreFundar,anio,share_expo
ABW,Aruba,2014,0.0
ABW,Aruba,2016,0.0
ABW,Aruba,2015,0.0
ABW,Aruba,2017,0.0
ABW,Aruba,2011,0.0
ABW,Aruba,2008,0.0
ABW,Aruba,2020,0.0
ABW,Aruba,2012,0.0
ABW,Aruba,2013,0.0
ABW,Aruba,2005,0.0
ABW,Aruba,1998,0.0
ABW,Aruba,2018,0.0
ABW,Aruba,2009,0.0
ABW,Aruba,2010,0.0
AFG,Afganistán,2021,0.0
AFG,Afganistán,1999,0.0
AFG,Afganistán,2019,0.0
AFG,Afganistán,2011,0.0
AFG,Afganistán,2006,0.0
AFG,Afganistán,2007,0.0
AFG,Afganistán,2016,0.0
AFG,Afganistán,2005,0.0
AFG,Afganistán,1992,0.0
AFG,Afganistán,2002,9.9999997e-05
AFG,Afganistán,2013,0.0
AFG,Afganistán,2000,0.0
AFG,Afganistán,2004,0.0
AGO,Angola,2020,0.0
AGO,Angola,1974,0.00019999999
AGO,Angola,2019,0.0
AGO,Angola,2006,0.0
AGO,Angola,1969,0.001
AGO,Angola,2021,0.0
AGO,Angola,1971,0.00069999998
AGO,Angola,1966,0.00089999998
AGO,Angola,2013,0.0
AGO,Angola,2000,0.0
AGO,Angola,1962,0.00089999998
AGO,Angola,1965,0.00079999998
AGO,Angola,1975,0.00030000001
AGO,Angola,2017,0.0
AGO,Angola,1964,0.00050000002
AGO,Angola,1967,0.001
AGO,Angola,2016,0.0
AGO,Angola,1973,0.00039999999
AGO,Angola,1963,0.00060000003
AGO,Angola,2015,0.0
AGO,Angola,2018,0.0
AGO,Angola,1972,0.00050000002
AGO,Angola,1970,0.00050000002
AGO,Angola,1996,0.0
AGO,Angola,1968,0.001
AIA,Anguila,2001,0.0
AIA,Anguila,2000,0.0
AIA,Anguila,2019,0.0
AIA,Anguila,1998,0.0
AIA,Anguila,1995,0.0
AIA,Anguila,2007,0.0
AIA,Anguila,1996,0.0
AIA,Anguila,2003,0.0
ALB,Albania,2017,0.0
ALB,Albania,1996,0.0
ALB,Albania,2019,0.0
ALB,Albania,2005,0.0
ALB,Albania,2013,9.9999997e-05
ALB,Albania,2007,0.0
ALB,Albania,1972,0.0
ALB,Albania,2015,0.0
ALB,Albania,1999,0.0
ALB,Albania,2020,0.0
ALB,Albania,2018,0.0
ALB,Albania,2014,0.0
ALB,Albania,2003,0.0
ALB,Albania,1982,0.0
ALB,Albania,2006,0.0
ALB,Albania,1978,0.0
ALB,Albania,2002,0.0
ALB,Albania,2008,0.0
