"anio","cuenta","participacion_pbi"
"2004","Agricultura","0.04965"
"2004","Otros","0.00930"
"2004","Pecuario","0.02170"
"2004","Total","0.08065"
"2005","Agricultura","0.04384"
"2005","Otros","0.00771"
"2005","Pecuario","0.02498"
"2005","Total","0.07653"
"2006","Agricultura","0.03972"
"2006","Otros","0.00718"
"2006","Pecuario","0.01888"
"2006","Total","0.06578"
"2007","Agricultura","0.04542"
"2007","Otros","0.00756"
"2007","Pecuario","0.01894"
"2007","Total","0.07193"
"2008","Agricultura","0.04586"
"2008","Otros","0.00740"
"2008","Pecuario","0.01733"
"2008","Total","0.07059"
"2009","Agricultura","0.02821"
"2009","Otros","0.00608"
"2009","Pecuario","0.01614"
"2009","Total","0.05043"
"2010","Agricultura","0.03806"
"2010","Otros","0.00557"
"2010","Pecuario","0.02553"
"2010","Total","0.06917"
"2011","Agricultura","0.03953"
"2011","Otros","0.00534"
"2011","Pecuario","0.02346"
"2011","Total","0.06832"
"2012","Agricultura","0.03111"
"2012","Otros","0.00440"
"2012","Pecuario","0.02074"
"2012","Total","0.05625"
"2013","Agricultura","0.03440"
"2013","Otros","0.00446"
"2013","Pecuario","0.01935"
"2013","Total","0.05821"
"2014","Agricultura","0.03800"
"2014","Otros","0.00449"
"2014","Pecuario","0.02226"
"2014","Total","0.06474"
"2015","Agricultura","0.02283"
"2015","Otros","0.00380"
"2015","Pecuario","0.02260"
"2015","Total","0.04923"
"2016","Agricultura","0.03819"
"2016","Otros","0.00386"
"2016","Pecuario","0.01792"
"2016","Total","0.05997"
"2017","Agricultura","0.02973"
"2017","Otros","0.00361"
"2017","Pecuario","0.01640"
"2017","Total","0.04974"
"2018","Agricultura","0.02273"
"2018","Otros","0.00534"
"2018","Pecuario","0.01358"
"2018","Total","0.04165"
"2019","Agricultura","0.02827"
"2019","Otros","0.00607"
"2019","Pecuario","0.01531"
"2019","Total","0.04965"
"2020","Agricultura","0.03384"
"2020","Otros","0.00628"
"2020","Pecuario","0.02011"
"2020","Total","0.06023"
"2021","Agricultura","0.04353"
"2021","Otros","0.00592"
"2021","Pecuario","0.02014"
"2021","Total","0.06959"
"2022","Agricultura","0.03843"
"2022","Otros","0.00523"
"2022","Pecuario","0.01908"
"2022","Total","0.06274"
"2023","Agricultura","0.02756"
"2023","Otros","0.00478"
"2023","Pecuario","0.02374"
"2023","Total","0.05608"
"2024","Agricultura","0.02734"
"2024","Otros","0.00534"
"2024","Pecuario","0.02241"
"2024","Total","0.05509"
"2025","Agricultura","0.02280"
"2025","Otros","0.00502"
"2025","Pecuario","0.02469"
"2025","Total","0.05251"
