"geocodigoFundar","tipo_idh","metrica","valor","geonombreFundar"
"AFG","IDH","Índice","0.462","Afganistán"
"AFG","IDH-P","Índice","0.459","Afganistán"
"AFG","IDH","Ranking","143","Afganistán"
"AFG","IDH-P","Ranking","142","Afganistán"
"AGO","IDH","Índice","0.591","Angola"
"AGO","IDH-P","Índice","0.581","Angola"
"AGO","IDH","Ranking","118","Angola"
"AGO","IDH-P","Ranking","111","Angola"
"ALB","IDH","Índice","0.789","Albania"
"ALB","IDH-P","Índice","0.747","Albania"
"ALB","IDH","Ranking","60","Albania"
"ALB","IDH-P","Ranking","45","Albania"
"ARE","IDH","Índice","0.937","Emiratos Árabes Unidos"
"ARE","IDH-P","Índice","0.688","Emiratos Árabes Unidos"
"ARE","IDH","Ranking","15","Emiratos Árabes Unidos"
"ARE","IDH-P","Ranking","73","Emiratos Árabes Unidos"
"ARG","IDH","Índice","0.849","Argentina"
"ARG","IDH-P","Índice","0.782","Argentina"
"ARG","IDH","Ranking","44","Argentina"
"ARG","IDH-P","Ranking","27","Argentina"
"ARM","IDH","Índice","0.786","Armenia"
"ARM","IDH-P","Índice","0.752","Armenia"
"ARM","IDH","Ranking","62","Armenia"
"ARM","IDH-P","Ranking","42","Armenia"
"AUS","IDH","Índice","0.946","Australia"
"AUS","IDH-P","Índice","0.763","Australia"
"AUS","IDH","Ranking","9","Australia"
"AUS","IDH-P","Ranking","38","Australia"
"AUT","IDH","Índice","0.926","Austria"
"AUT","IDH-P","Índice","0.789","Austria"
"AUT","IDH","Ranking","20","Austria"
"AUT","IDH-P","Ranking","22","Austria"
"AZE","IDH","Índice","0.76","Azerbaiyán"
"AZE","IDH-P","Índice","0.719","Azerbaiyán"
"AZE","IDH","Ranking","73","Azerbaiyán"
"AZE","IDH-P","Ranking","60","Azerbaiyán"
"BDI","IDH","Índice","0.42","Burundi"
"BDI","IDH-P","Índice","0.417","Burundi"
"BDI","IDH","Ranking","148","Burundi"
"BDI","IDH-P","Ranking","148","Burundi"
"BEL","IDH","Índice","0.942","Bélgica"
"BEL","IDH-P","Índice","0.803","Bélgica"
"BEL","IDH","Ranking","11","Bélgica"
"BEL","IDH-P","Ranking","19","Bélgica"
"BEN","IDH","Índice","0.504","Benin"
"BEN","IDH-P","Índice","0.494","Benin"
"BEN","IDH","Ranking","135","Benin"
"BEN","IDH-P","Ranking","133","Benin"
"BFA","IDH","Índice","0.438","Burkina Faso"
"BFA","IDH-P","Índice","0.433","Burkina Faso"
"BFA","IDH","Ranking","146","Burkina Faso"
"BFA","IDH-P","Ranking","146","Burkina Faso"
