iso3,iso3_desc_fundar,anio,idha
AFG,Afganistán,1870,
AFG,Afganistán,1880,
AFG,Afganistán,1890,
AFG,Afganistán,1900,
AFG,Afganistán,1913,
AFG,Afganistán,1925,
AFG,Afganistán,1929,
AFG,Afganistán,1933,
AFG,Afganistán,1938,
AFG,Afganistán,1950,.0500428769514701
AFG,Afganistán,1955,.0534866788034279
AFG,Afganistán,1960,.0586536667532706
AFG,Afganistán,1965,.0689069261439691
AFG,Afganistán,1970,.0811702871643015
AFG,Afganistán,1975,.0747886767683815
AFG,Afganistán,1980,.0765657759811999
AFG,Afganistán,1985,.0873050346637085
AFG,Afganistán,1990,.0924506140646851
AFG,Afganistán,1995,.0798029472276773
AFG,Afganistán,2000,.0824631629656341
AFG,Afganistán,2005,.1489208756472859
AFG,Afganistán,2010,.1982964648476161
AFG,Afganistán,2015,.202815648316824
AFG,Afganistán,2020,.1804355532792284
AGO,Angola,1870,.0192889328393757
AGO,Angola,1880,.0214054146584637
AGO,Angola,1890,.0244671989807134
AGO,Angola,1900,.0268680071717636
AGO,Angola,1913,.0268310153847963
AGO,Angola,1925,.0267731456980051
AGO,Angola,1929,.0269355502864254
AGO,Angola,1933,.0270139544062407
AGO,Angola,1938,.0294088265183664
AGO,Angola,1950,.0337166763971895
AGO,Angola,1955,.0357670287772534
AGO,Angola,1960,.0387305890055157
AGO,Angola,1965,.0474544592771557
AGO,Angola,1970,.0547273214322319
AGO,Angola,1975,.0700694168542273
AGO,Angola,1980,.0799640996833379
AGO,Angola,1985,.0879231064720262
AGO,Angola,1990,.0993265371964056
AGO,Angola,1995,.1149323174861076
AGO,Angola,2000,.1209051835650274
AGO,Angola,2005,.1563722682566492
AGO,Angola,2010,.2079154802045855
AGO,Angola,2015,.2215703936490792
AGO,Angola,2020,.2433170636695323
AHDI.EAS,Asia Oriental (AHDI),1870,.0326216778334975
AHDI.EAS,Asia Oriental (AHDI),1880,.0333877272748704
AHDI.EAS,Asia Oriental (AHDI),1890,.0358945405478517
AHDI.EAS,Asia Oriental (AHDI),1900,.0395652303780473
AHDI.EAS,Asia Oriental (AHDI),1913,.0463467530178126
AHDI.EAS,Asia Oriental (AHDI),1925,.0631439831789489
AHDI.EAS,Asia Oriental (AHDI),1929,.0687900684687065
AHDI.EAS,Asia Oriental (AHDI),1933,.077480153850801
AHDI.EAS,Asia Oriental (AHDI),1938,.0892053296805261
AHDI.EAS,Asia Oriental (AHDI),1950,.1298426226775739
AHDI.EAS,Asia Oriental (AHDI),1955,.14938966543623
