"ano","variable","valor"
"1992","ingresohorrario","100.00000"
"1992","ingresomensual","100.00000"
"1993","ingresohorrario","100.40979"
"1993","ingresomensual","102.50768"
"1994","ingresohorrario","113.00804"
"1994","ingresomensual","103.59353"
"1995","ingresohorrario","109.91575"
"1995","ingresomensual","102.33585"
"1996","ingresohorrario","107.35465"
"1996","ingresomensual","99.29576"
"1997","ingresohorrario","106.19198"
"1997","ingresomensual","98.61462"
"1998","ingresohorrario","111.22925"
"1998","ingresomensual","103.72307"
"1999","ingresohorrario","107.53010"
"1999","ingresomensual","99.00923"
"2000","ingresohorrario","107.02051"
"2000","ingresomensual","96.97812"
"2001","ingresohorrario","106.85378"
"2001","ingresomensual","93.45091"
"2002","ingresohorrario","78.64407"
"2002","ingresomensual","68.34931"
"2003","ingresohorrario","76.73904"
"2003","ingresomensual","66.28934"
"2004","ingresohorrario","77.38843"
"2004","ingresomensual","68.79814"
"2005","ingresohorrario","85.12281"
"2005","ingresomensual","76.70285"
"2006","ingresohorrario","91.44551"
"2006","ingresomensual","84.08845"
"2007","ingresohorrario","93.28767"
"2007","ingresomensual","85.40554"
"2008","ingresohorrario","94.40477"
"2008","ingresomensual","83.90291"
"2009","ingresohorrario","97.66003"
"2009","ingresomensual","86.79741"
"2010","ingresohorrario","98.30820"
"2010","ingresomensual","87.69385"
"2011","ingresohorrario","106.17557"
"2011","ingresomensual","93.92918"
"2012","ingresohorrario","104.27122"
"2012","ingresomensual","91.63431"
"2013","ingresohorrario","106.60452"
"2013","ingresomensual","92.88499"
"2014","ingresohorrario","99.06434"
"2014","ingresomensual","85.18323"
"2015","ingresohorrario","99.81817"
"2015","ingresomensual","87.00714"
"2016","ingresohorrario","100.09249"
"2016","ingresomensual","86.01772"
"2017","ingresohorrario","103.09904"
"2017","ingresomensual","88.74664"
"2018","ingresohorrario","93.37416"
"2018","ingresomensual","79.79732"
"2019","ingresohorrario","88.15850"
"2019","ingresomensual","73.95675"
"2020","ingresohorrario","91.73020"
"2020","ingresomensual","67.57501"
"2021","ingresohorrario","88.53295"
"2021","ingresomensual","71.40003"
"2022","ingresohorrario","77.96746"
"2022","ingresomensual","66.04947"
"2023","ingresohorrario","75.21023"
"2023","ingresomensual","64.24962"
"2024","ingresohorrario","80.63810"
"2024","ingresomensual","69.01509"
"2025","ingresohorrario","92.71673"
"2025","ingresomensual","78.80661"
