"year","semestre","edad_jefe","fuente","proporcion"
"2025","2","24 o menos","Ingreso laboral","0.75796"
"2025","2","25 a 34","Ingreso laboral","0.86429"
"2025","2","35 a 44","Ingreso laboral","0.90710"
"2025","2","45 a 54","Ingreso laboral","0.88816"
"2025","2","55 a 64","Ingreso laboral","0.82947"
"2025","2","65 o mas","Ingreso laboral","0.51076"
"2025","2","24 o menos","Ingreso de capital","0.01126"
"2025","2","25 a 34","Ingreso de capital","0.00441"
"2025","2","35 a 44","Ingreso de capital","0.00709"
"2025","2","45 a 54","Ingreso de capital","0.01286"
"2025","2","55 a 64","Ingreso de capital","0.01318"
"2025","2","65 o mas","Ingreso de capital","0.01752"
"2025","2","24 o menos","Ingreso de jubilaciones","0.01343"
"2025","2","25 a 34","Ingreso de jubilaciones","0.01595"
"2025","2","35 a 44","Ingreso de jubilaciones","0.02071"
"2025","2","45 a 54","Ingreso de jubilaciones","0.03648"
"2025","2","55 a 64","Ingreso de jubilaciones","0.11831"
"2025","2","65 o mas","Ingreso de jubilaciones","0.43601"
"2025","2","24 o menos","Ingreso de transferencias estatales","0.04737"
"2025","2","25 a 34","Ingreso de transferencias estatales","0.07537"
"2025","2","35 a 44","Ingreso de transferencias estatales","0.03499"
"2025","2","45 a 54","Ingreso de transferencias estatales","0.02119"
"2025","2","55 a 64","Ingreso de transferencias estatales","0.02077"
"2025","2","65 o mas","Ingreso de transferencias estatales","0.01190"
"2025","2","24 o menos","Otros ingresos","0.16998"
"2025","2","25 a 34","Otros ingresos","0.03999"
"2025","2","35 a 44","Otros ingresos","0.03010"
"2025","2","45 a 54","Otros ingresos","0.04130"
"2025","2","55 a 64","Otros ingresos","0.01827"
"2025","2","65 o mas","Otros ingresos","0.02381"
