"anio","variable","share_turismo_receptivo"
"1960","Turismo receptivo en Argentina, como % del turismo mundial","0.617284362936639"
"1960","Turismo receptivo en Argentina, como % del turismo de las Américas","2.54794891230641"
"1965","Turismo receptivo en Argentina, como % del turismo mundial","0.405161578090347"
"1965","Turismo receptivo en Argentina, como % del turismo de las Américas","1.95924211830545"
"1970","Turismo receptivo en Argentina, como % del turismo mundial","0.620065756326489"
"1970","Turismo receptivo en Argentina, como % del turismo de las Américas","2.41518943322869"
"1975","Turismo receptivo en Argentina, como % del turismo mundial","0.788562382788352"
"1975","Turismo receptivo en Argentina, como % del turismo de las Américas","3.47306645518624"
"1982","Turismo receptivo en Argentina, como % del turismo mundial","0.692163657161357"
"1982","Turismo receptivo en Argentina, como % del turismo de las Américas","3.18246496598625"
"1983","Turismo receptivo en Argentina, como % del turismo mundial","0.689093474847712"
"1983","Turismo receptivo en Argentina, como % del turismo de las Américas","3.21326637770421"
"1984","Turismo receptivo en Argentina, como % del turismo mundial","0.774744316275265"
"1984","Turismo receptivo en Argentina, como % del turismo de las Américas","3.49421489500177"
"1985","Turismo receptivo en Argentina, como % del turismo mundial","0.69448682045771"
"1985","Turismo receptivo en Argentina, como % del turismo de las Américas","3.38276512943666"
"1986","Turismo receptivo en Argentina, como % del turismo mundial","0.794520510482213"
"1986","Turismo receptivo en Argentina, como % del turismo de las Américas","3.66320513758136"
"1987","Turismo receptivo en Argentina, como % del turismo mundial","0.757663507699069"
"1987","Turismo receptivo en Argentina, como % del turismo de las Américas","3.52347762006678"
"1988","Turismo receptivo en Argentina, como % del turismo mundial","0.813729594112631"
"1988","Turismo receptivo en Argentina, como % del turismo de las Américas","3.7359892542105"
"1989","Turismo receptivo en Argentina, como % del turismo mundial","0.894379075646325"
"1989","Turismo receptivo en Argentina, como % del turismo de las Américas","4.1724130881475"
"1990","Turismo receptivo en Argentina, como % del turismo mundial","0.649732934310782"
"1990","Turismo receptivo en Argentina, como % del turismo de las Américas","3.05063663730241"
"1991","Turismo receptivo en Argentina, como % del turismo mundial","0.578616885018109"
"1991","Turismo receptivo en Argentina, como % del turismo de las Américas","2.66646663388035"
"1992","Turismo receptivo en Argentina, como % del turismo mundial","0.536075654382444"
"1992","Turismo receptivo en Argentina, como % del turismo de las Américas","2.49947469905634"
"1993","Turismo receptivo en Argentina, como % del turismo mundial","0.588466943752279"
"1993","Turismo receptivo en Argentina, como % del turismo de las Américas","2.83131630750904"
"1994","Turismo receptivo en Argentina, como % del turismo mundial","0.614745522309347"
"1994","Turismo receptivo en Argentina, como % del turismo de las Américas","3.01433390797475"
"1995","Turismo receptivo en Argentina, como % del turismo mundial","0.650139895543794"
"1995","Turismo receptivo en Argentina, como % del turismo de las Américas","3.19520699554396"
"1996","Turismo receptivo en Argentina, como % del turismo mundial","0.698137833330891"
"1996","Turismo receptivo en Argentina, como % del turismo de las Américas","3.47193527924147"
"1997","Turismo receptivo en Argentina, como % del turismo mundial","0.704516698830501"
"1997","Turismo receptivo en Argentina, como % del turismo de las Américas","3.59366918141435"
"1998","Turismo receptivo en Argentina, como % del turismo mundial","0.742140456946047"
"1998","Turismo receptivo en Argentina, como % del turismo de las Américas","3.80249625286835"
"1999","Turismo receptivo en Argentina, como % del turismo mundial","0.683268460580504"
"1999","Turismo receptivo en Argentina, como % del turismo de las Américas","3.55036974276122"
"2000","Turismo receptivo en Argentina, como % del turismo mundial","0.642984368057189"
"2000","Turismo receptivo en Argentina, como % del turismo de las Américas","3.389377515771"
"2001","Turismo receptivo en Argentina, como % del turismo mundial","0.575214057067655"
"2001","Turismo receptivo en Argentina, como % del turismo de las Américas","3.20591525809835"
"2002","Turismo receptivo en Argentina, como % del turismo mundial","0.599613443875325"
"2002","Turismo receptivo en Argentina, como % del turismo de las Américas","3.59663651131212"
"2003","Turismo receptivo en Argentina, como % del turismo mundial","0.620487089721715"
"2003","Turismo receptivo en Argentina, como % del turismo de las Américas","3.77402542997123"
"2004","Turismo receptivo en Argentina, como % del turismo mundial","0.587483254890494"
"2004","Turismo receptivo en Argentina, como % del turismo de las Américas","3.55143725227586"
"2005","Turismo receptivo en Argentina, como % del turismo mundial","0.580102477466837"
"2005","Turismo receptivo en Argentina, como % del turismo de las Américas","3.48683679098717"
"2006","Turismo receptivo en Argentina, como % del turismo mundial","0.612253709675117"
"2006","Turismo receptivo en Argentina, como % del turismo de las Américas","3.79723125914709"
"2007","Turismo receptivo en Argentina, como % del turismo mundial","0.632678680843364"
"2007","Turismo receptivo en Argentina, como % del turismo de las Américas","3.98350973693497"
"2008","Turismo receptivo en Argentina, como % del turismo mundial","0.650548933055913"
"2008","Turismo receptivo en Argentina, como % del turismo de las Américas","4.00629895996027"
"2009","Turismo receptivo en Argentina, como % del turismo mundial","0.630432017240433"
"2009","Turismo receptivo en Argentina, como % del turismo de las Américas","3.90040770803161"
"2010","Turismo receptivo en Argentina, como % del turismo mundial","0.70878756272049"
"2010","Turismo receptivo en Argentina, como % del turismo de las Américas","4.49176312425535"
"2014","Turismo receptivo en Argentina, como % del turismo mundial","0.630141032962254"
"2014","Turismo receptivo en Argentina, como % del turismo de las Américas","3.93949202224272"
"2015","Turismo receptivo en Argentina, como % del turismo mundial","0.57313535020533"
"2015","Turismo receptivo en Argentina, como % del turismo de las Américas","3.53723722097361"
"2016","Turismo receptivo en Argentina, como % del turismo mundial","0.535391221616035"
"2016","Turismo receptivo en Argentina, como % del turismo de las Américas","3.31120542819289"
"2017","Turismo receptivo en Argentina, como % del turismo mundial","0.501556930302624"
"2017","Turismo receptivo en Argentina, como % del turismo de las Américas","3.18245099178565"
"2018","Turismo receptivo en Argentina, como % del turismo mundial","0.490763925346352"
"2018","Turismo receptivo en Argentina, como % del turismo de las Américas","3.21553882792705"
"2019","Turismo receptivo en Argentina, como % del turismo mundial","0.504161149524765"
"2019","Turismo receptivo en Argentina, como % del turismo de las Américas","3.37419776677223"
"2020","Turismo receptivo en Argentina, como % del turismo mundial","0.512391876165161"
"2020","Turismo receptivo en Argentina, como % del turismo de las Américas","2.99810609952795"
"2021","Turismo receptivo en Argentina, como % del turismo mundial","0.0644606026820716"
"2021","Turismo receptivo en Argentina, como % del turismo de las Américas","0.364041917784003"
"2022","Turismo receptivo en Argentina, como % del turismo mundial","0.398661684756269"
"2022","Turismo receptivo en Argentina, como % del turismo de las Américas","2.47610185469765"
"2023","Turismo receptivo en Argentina, como % del turismo mundial","0.557353580365126"
"2023","Turismo receptivo en Argentina, como % del turismo de las Américas","3.6394447581921"
"2024","Turismo receptivo en Argentina, como % del turismo mundial","0.449299959232383"
"2024","Turismo receptivo en Argentina, como % del turismo de las Américas","3.02506284956212"
