"anio","geocodigoFundar","geonombreFundar","share_tourism_gdp"
"2008","ALB","Albania","2.75707"
"2009","ALB","Albania","2.66869"
"2010","ALB","Albania","2.81234"
"2011","ALB","Albania","2.53477"
"2012","ALB","Albania","2.35697"
"2013","ALB","Albania","2.32137"
"2014","ALB","Albania","2.32641"
"2015","ALB","Albania","2.44379"
"2016","ALB","Albania","2.63697"
"2017","ALB","Albania","2.83579"
"2018","ALB","Albania","3.08301"
"2019","ALB","Albania","3.54724"
"2020","ALB","Albania","2.5657"
"2021","ALB","Albania","3.02029"
"2022","ALB","Albania","3.77704"
"2023","ALB","Albania","5.56238"
"2008","DZA","Argelia","0.77914"
"2009","DZA","Argelia","1.01034"
"2010","DZA","Argelia","0.95513"
"2011","DZA","Argelia","0.82206"
"2012","DZA","Argelia","0.87226"
"2013","DZA","Argelia","1.00661"
"2014","DZA","Argelia","1.03"
"2015","DZA","Argelia","1.15092"
"2016","DZA","Argelia","1.28468"
"2017","DZA","Argelia","1.37483"
"2018","DZA","Argelia","1.39329"
"2019","DZA","Argelia","1.38079"
"2020","DZA","Argelia","0.60856"
"2021","DZA","Argelia","0.81195"
"2022","DZA","Argelia","1.08616"
"2023","DZA","Argelia","1.39349"
"2011","ATG","Antigua y Barbuda","10.53691"
"2012","ATG","Antigua y Barbuda","10.22042"
"2013","ATG","Antigua y Barbuda","10.67817"
"2014","ATG","Antigua y Barbuda","10.93971"
"2015","ATG","Antigua y Barbuda","11.28182"
"2016","ATG","Antigua y Barbuda","11.3816"
"2017","ATG","Antigua y Barbuda","10.83745"
"2018","ATG","Antigua y Barbuda","10.69594"
"2019","ATG","Antigua y Barbuda","10.63667"
"2020","ATG","Antigua y Barbuda","7.52403"
"2021","ATG","Antigua y Barbuda","9.73113"
"2022","ATG","Antigua y Barbuda","11.70779"
"2016","AZE","Azerbaiyán","3.7"
"2022","AZE","Azerbaiyán","2.22808"
"2023","AZE","Azerbaiyán","3.73161"
"2016","ARG","Argentina","1.91767"
"2017","ARG","Argentina","1.98626"
"2018","ARG","Argentina","1.83979"
"2019","ARG","Argentina","1.77327"
"2020","ARG","Argentina","0.88322"
"2021","ARG","Argentina","0.84015"
"2022","ARG","Argentina","1.68395"
"2008","AUS","Australia","2.7"
"2009","AUS","Australia","2.8"
"2010","AUS","Australia","2.6"
"2011","AUS","Australia","2.6"
"2012","AUS","Australia","2.6"
"2013","AUS","Australia","2.5"
"2014","AUS","Australia","2.7"
"2015","AUS","Australia","2.9"
"2016","AUS","Australia","2.9"
"2017","AUS","Australia","2.9"
"2018","AUS","Australia","3.1"
"2019","AUS","Australia","2.4"
"2020","AUS","Australia","1.5"
"2021","AUS","Australia","1.6"
"2022","AUS","Australia","2.8"
"2023","AUS","Australia","2.9"
"2018","AUT","Austria","5.19838"
"2019","AUT","Austria","5.33122"
"2020","AUT","Austria","3.36035"
"2021","AUT","Austria","2.6604"
"2012","BHS","Bahamas","15.16544"
"2015","BHR","Bahrein","5.17559"
"2016","BHR","Bahrein","6.89328"
"2017","BHR","Bahrein","6.93861"
"2018","BHR","Bahrein","5.78345"
"2019","BHR","Bahrein","6.21983"
"2020","BHR","Bahrein","1.46388"
"2021","BHR","Bahrein","3.03483"
"2022","BHR","Bahrein","5.64767"
"2023","BHR","Bahrein","7.13505"
"2019","BGD","Bangladesh","3.02"
"2016","BEL","Bélgica","2.18169"
"2019","BEL","Bélgica","1.855"
"2020","BEL","Bélgica","3.16"
"2021","BEL","Bélgica","3.54"
"2022","BEL","Bélgica","3.43"
"2008","BMU","Bermuda","4.9"
"2009","BMU","Bermuda","4.3"
"2010","BMU","Bermuda","5.2"
"2011","BMU","Bermuda","5.7"
"2012","BMU","Bermuda","5.2"
"2013","BMU","Bermuda","5"
"2014","BMU","Bermuda","4.6"
"2015","BMU","Bermuda","4.2"
"2016","BMU","Bermuda","4.7"
"2017","BMU","Bermuda","4.8"
"2018","BMU","Bermuda","5.3"
"2019","BMU","Bermuda","5.1"
"2020","BMU","Bermuda","1.8"
"2021","BMU","Bermuda","2.2"
"2019","BTN","Bhután","9.52137"
"2009","BWA","Botswana","3.7"
"2016","BWA","Botswana","4.9"
"2019","BWA","Botswana","5.1"
"2010","VGB","Islas Vírgenes Británicas","30.27512"
"2011","VGB","Islas Vírgenes Británicas","30.35111"
"2012","VGB","Islas Vírgenes Británicas","30.32917"
"2013","VGB","Islas Vírgenes Británicas","30.76"
"2014","VGB","Islas Vírgenes Británicas","30.86"
"2015","VGB","Islas Vírgenes Británicas","30.81"
"2016","VGB","Islas Vírgenes Británicas","37"
"2017","VGB","Islas Vírgenes Británicas","32.405"
"2018","VGB","Islas Vírgenes Británicas","33.2025"
"2010","BRN","Brunei Darussalam","0.81"
"2011","BRN","Brunei Darussalam","0.65"
"2012","BRN","Brunei Darussalam","0.62"
"2013","BRN","Brunei Darussalam","0.66"
"2014","BRN","Brunei Darussalam","0.65"
"2015","BRN","Brunei Darussalam","0.78"
"2016","BRN","Brunei Darussalam","0.83"
"2014","BLR","Belarús","1.78462"
"2016","BLR","Belarús","2.23041"
"2018","BLR","Belarús","2.49756"
"2020","BLR","Belarús","1.42037"
"2022","BLR","Belarús","1.89548"
"2012","CMR","Camerún","3.3"
"2013","CMR","Camerún","3.4"
"2014","CMR","Camerún","3.2"
"2015","CMR","Camerún","3.7"
"2016","CMR","Camerún","4"
"2017","CMR","Camerún","4.1"
"2018","CMR","Camerún","5.06"
"2019","CMR","Camerún","5.09"
"2020","CMR","Camerún","4.65"
"2021","CMR","Camerún","4.82"
"2008","CAN","Canadá","1.81821"
"2009","CAN","Canadá","1.82919"
"2010","CAN","Canadá","1.83329"
"2011","CAN","Canadá","1.81814"
"2012","CAN","Canadá","1.83679"
"2013","CAN","Canadá","1.80198"
"2014","CAN","Canadá","1.79943"
"2015","CAN","Canadá","1.93487"
"2016","CAN","Canadá","1.99315"
"2017","CAN","Canadá","1.99379"
"2018","CAN","Canadá","2.00237"
"2019","CAN","Canadá","2.01469"
"2020","CAN","Canadá","1.00336"
"2021","CAN","Canadá","0.98237"
"2022","CAN","Canadá","1.41368"
"2023","CAN","Canadá","1.577"
"2018","LKA","Sri Lanka","3.33926"
"2008","CHL","Chile","3.24928"
"2009","CHL","Chile","3.319"
"2010","CHL","Chile","3.2462"
"2011","CHL","Chile","3.15664"
"2012","CHL","Chile","3.45471"
"2013","CHL","Chile","3.13638"
"2014","CHL","Chile","3.10483"
"2015","CHL","Chile","3.39815"
"2016","CHL","Chile","3.64229"
"2017","CHL","Chile","3.54035"
"2018","CHL","Chile","3.29595"
"2019","CHL","Chile","3.31392"
"2008","COL","Colombia","2.57107"
"2009","COL","Colombia","2.48384"
"2010","COL","Colombia","2.41378"
"2011","COL","Colombia","2.21365"
"2012","COL","Colombia","2.13009"
"2013","COL","Colombia","2.08821"
"2014","COL","Colombia","2.0616"
"2015","COL","Colombia","1.90385"
"2016","COL","Colombia","2.05987"
"2017","COL","Colombia","2.07005"
"2018","COL","Colombia","2.55753"
"2019","COL","Colombia","2.63815"
"2020","COL","Colombia","1.24652"
"2021","COL","Colombia","1.68666"
"2022","COL","Colombia","2.23272"
"2023","COL","Colombia","2.34605"
"2012","CRI","Costa Rica","4.41076"
"2013","CRI","Costa Rica","4.68706"
"2014","CRI","Costa Rica","4.61756"
"2015","CRI","Costa Rica","4.7099"
"2016","CRI","Costa Rica","4.99396"
"2017","CRI","Costa Rica","4.80883"
"2018","CRI","Costa Rica","4.65418"
"2019","CRI","Costa Rica","4.81809"
"2020","CRI","Costa Rica","1.86899"
"2021","CRI","Costa Rica","2.71972"
"2011","HRV","Croacia","10.3"
"2016","HRV","Croacia","11.39607"
"2019","HRV","Croacia","11.82341"
"2008","CZE","Chequia","2.80155"
"2009","CZE","Chequia","2.87347"
"2010","CZE","Chequia","2.65298"
"2011","CZE","Chequia","2.65992"
"2012","CZE","Chequia","2.74939"
"2013","CZE","Chequia","2.88297"
"2014","CZE","Chequia","2.76361"
"2015","CZE","Chequia","2.77236"
"2016","CZE","Chequia","2.90684"
"2017","CZE","Chequia","2.94173"
"2018","CZE","Chequia","2.87942"
"2019","CZE","Chequia","2.87382"
"2020","CZE","Chequia","1.50132"
"2021","CZE","Chequia","1.55283"
"2022","CZE","Chequia","2.21996"
"2008","DNK","Dinamarca","1.68281"
