"decil","codigo","desagregacion","gran_categoria","categoria","subcategoria","rubro","instrumento","variable","valor"
"1","2.1.1.01","9","Impuestos y contribuciones","Impuestos","Impuestos directos","","Impuestos a la nómina salarial (PAMI, sindicatos, etc.)","Concentración per cápita (en dólares PPP 2011)","-0.0031166970725401"
"2","2.1.1.01","9","Impuestos y contribuciones","Impuestos","Impuestos directos","","Impuestos a la nómina salarial (PAMI, sindicatos, etc.)","Concentración per cápita (en dólares PPP 2011)","-0.0238212343954287"
"3","2.1.1.01","9","Impuestos y contribuciones","Impuestos","Impuestos directos","","Impuestos a la nómina salarial (PAMI, sindicatos, etc.)","Concentración per cápita (en dólares PPP 2011)","-0.072710537222282"
"4","2.1.1.01","9","Impuestos y contribuciones","Impuestos","Impuestos directos","","Impuestos a la nómina salarial (PAMI, sindicatos, etc.)","Concentración per cápita (en dólares PPP 2011)","-0.122864495962229"
"5","2.1.1.01","9","Impuestos y contribuciones","Impuestos","Impuestos directos","","Impuestos a la nómina salarial (PAMI, sindicatos, etc.)","Concentración per cápita (en dólares PPP 2011)","-0.185920254864554"
"6","2.1.1.01","9","Impuestos y contribuciones","Impuestos","Impuestos directos","","Impuestos a la nómina salarial (PAMI, sindicatos, etc.)","Concentración per cápita (en dólares PPP 2011)","-0.23604569146347"
"7","2.1.1.01","9","Impuestos y contribuciones","Impuestos","Impuestos directos","","Impuestos a la nómina salarial (PAMI, sindicatos, etc.)","Concentración per cápita (en dólares PPP 2011)","-0.327804897858195"
"8","2.1.1.01","9","Impuestos y contribuciones","Impuestos","Impuestos directos","","Impuestos a la nómina salarial (PAMI, sindicatos, etc.)","Concentración per cápita (en dólares PPP 2011)","-0.429157240190865"
"9","2.1.1.01","9","Impuestos y contribuciones","Impuestos","Impuestos directos","","Impuestos a la nómina salarial (PAMI, sindicatos, etc.)","Concentración per cápita (en dólares PPP 2011)","-0.586447281986324"
"10","2.1.1.01","9","Impuestos y contribuciones","Impuestos","Impuestos directos","","Impuestos a la nómina salarial (PAMI, sindicatos, etc.)","Concentración per cápita (en dólares PPP 2011)","-1.00619006211375"
"1","2.1.1.01","9","Impuestos y contribuciones","Impuestos","Impuestos directos","","Impuestos a la nómina salarial (PAMI, sindicatos, etc.)","Incidencia fiscal respecto al ingreso de mercado más pensiones","-0.00188044323860935"
"2","2.1.1.01","9","Impuestos y contribuciones","Impuestos","Impuestos directos","","Impuestos a la nómina salarial (PAMI, sindicatos, etc.)","Incidencia fiscal respecto al ingreso de mercado más pensiones","-0.00367777487882234"
"3","2.1.1.01","9","Impuestos y contribuciones","Impuestos","Impuestos directos","","Impuestos a la nómina salarial (PAMI, sindicatos, etc.)","Incidencia fiscal respecto al ingreso de mercado más pensiones","-0.00725208418401697"
"4","2.1.1.01","9","Impuestos y contribuciones","Impuestos","Impuestos directos","","Impuestos a la nómina salarial (PAMI, sindicatos, etc.)","Incidencia fiscal respecto al ingreso de mercado más pensiones","-0.0090720056955357"
"5","2.1.1.01","9","Impuestos y contribuciones","Impuestos","Impuestos directos","","Impuestos a la nómina salarial (PAMI, sindicatos, etc.)","Incidencia fiscal respecto al ingreso de mercado más pensiones","-0.0107404190890622"
"6","2.1.1.01","9","Impuestos y contribuciones","Impuestos","Impuestos directos","","Impuestos a la nómina salarial (PAMI, sindicatos, etc.)","Incidencia fiscal respecto al ingreso de mercado más pensiones","-0.0108367661086154"
"7","2.1.1.01","9","Impuestos y contribuciones","Impuestos","Impuestos directos","","Impuestos a la nómina salarial (PAMI, sindicatos, etc.)","Incidencia fiscal respecto al ingreso de mercado más pensiones","-0.0120160380668339"
"8","2.1.1.01","9","Impuestos y contribuciones","Impuestos","Impuestos directos","","Impuestos a la nómina salarial (PAMI, sindicatos, etc.)","Incidencia fiscal respecto al ingreso de mercado más pensiones","-0.0122433738343811"
"9","2.1.1.01","9","Impuestos y contribuciones","Impuestos","Impuestos directos","","Impuestos a la nómina salarial (PAMI, sindicatos, etc.)","Incidencia fiscal respecto al ingreso de mercado más pensiones","-0.012186509479116"
"10","2.1.1.01","9","Impuestos y contribuciones","Impuestos","Impuestos directos","","Impuestos a la nómina salarial (PAMI, sindicatos, etc.)","Incidencia fiscal respecto al ingreso de mercado más pensiones","-0.010967729723275"
"1","2.1.1.01","9","Impuestos y contribuciones","Impuestos","Impuestos directos","","Impuestos a la nómina salarial (PAMI, sindicatos, etc.)","Participación en la concentración","0.00104067625807983"
"2","2.1.1.01","9","Impuestos y contribuciones","Impuestos","Impuestos directos","","Impuestos a la nómina salarial (PAMI, sindicatos, etc.)","Participación en la concentración","0.00795603647204273"
"3","2.1.1.01","9","Impuestos y contribuciones","Impuestos","Impuestos directos","","Impuestos a la nómina salarial (PAMI, sindicatos, etc.)","Participación en la concentración","0.0242820042708369"
"4","2.1.1.01","9","Impuestos y contribuciones","Impuestos","Impuestos directos","","Impuestos a la nómina salarial (PAMI, sindicatos, etc.)","Participación en la concentración","0.0409370471554377"
"5","2.1.1.01","9","Impuestos y contribuciones","Impuestos","Impuestos directos","","Impuestos a la nómina salarial (PAMI, sindicatos, etc.)","Participación en la concentración","0.0622337781063691"
"6","2.1.1.01","9","Impuestos y contribuciones","Impuestos","Impuestos directos","","Impuestos a la nómina salarial (PAMI, sindicatos, etc.)","Participación en la concentración","0.0788104879146634"
"7","2.1.1.01","9","Impuestos y contribuciones","Impuestos","Impuestos directos","","Impuestos a la nómina salarial (PAMI, sindicatos, etc.)","Participación en la concentración","0.109394617929827"
"8","2.1.1.01","9","Impuestos y contribuciones","Impuestos","Impuestos directos","","Impuestos a la nómina salarial (PAMI, sindicatos, etc.)","Participación en la concentración","0.143454778773384"
"9","2.1.1.01","9","Impuestos y contribuciones","Impuestos","Impuestos directos","","Impuestos a la nómina salarial (PAMI, sindicatos, etc.)","Participación en la concentración","0.195852119368174"
"10","2.1.1.01","9","Impuestos y contribuciones","Impuestos","Impuestos directos","","Impuestos a la nómina salarial (PAMI, sindicatos, etc.)","Participación en la concentración","0.336038453751185"
"1","2.1.1.02","9","Impuestos y contribuciones","Impuestos","Impuestos directos","","Impuesto a los ingresos","Concentración per cápita (en dólares PPP 2011)","-0.0000350914865098"
"2","2.1.1.02","9","Impuestos y contribuciones","Impuestos","Impuestos directos","","Impuesto a los ingresos","Concentración per cápita (en dólares PPP 2011)","-0.0060261941128827"
"3","2.1.1.02","9","Impuestos y contribuciones","Impuestos","Impuestos directos","","Impuesto a los ingresos","Concentración per cápita (en dólares PPP 2011)","-0.030077202050004"
"4","2.1.1.02","9","Impuestos y contribuciones","Impuestos","Impuestos directos","","Impuesto a los ingresos","Concentración per cápita (en dólares PPP 2011)","-0.0628958830572873"
"5","2.1.1.02","9","Impuestos y contribuciones","Impuestos","Impuestos directos","","Impuesto a los ingresos","Concentración per cápita (en dólares PPP 2011)","-0.11858772628154"
"6","2.1.1.02","9","Impuestos y contribuciones","Impuestos","Impuestos directos","","Impuesto a los ingresos","Concentración per cápita (en dólares PPP 2011)","-0.180539778701569"
"7","2.1.1.02","9","Impuestos y contribuciones","Impuestos","Impuestos directos","","Impuesto a los ingresos","Concentración per cápita (en dólares PPP 2011)","-0.293382918065144"
"8","2.1.1.02","9","Impuestos y contribuciones","Impuestos","Impuestos directos","","Impuesto a los ingresos","Concentración per cápita (en dólares PPP 2011)","-0.526167596354976"
"9","2.1.1.02","9","Impuestos y contribuciones","Impuestos","Impuestos directos","","Impuesto a los ingresos","Concentración per cápita (en dólares PPP 2011)","-0.882881145029917"
"10","2.1.1.02","9","Impuestos y contribuciones","Impuestos","Impuestos directos","","Impuesto a los ingresos","Concentración per cápita (en dólares PPP 2011)","-3.54767139104924"
"1","2.1.1.02","9","Impuestos y contribuciones","Impuestos","Impuestos directos","","Impuesto a los ingresos","Incidencia fiscal respecto al ingreso de mercado más pensiones","-0.0000211722689129951"
"2","2.1.1.02","9","Impuestos y contribuciones","Impuestos","Impuestos directos","","Impuesto a los ingresos","Incidencia fiscal respecto al ingreso de mercado más pensiones","-0.000930387777365562"
"3","2.1.1.02","9","Impuestos y contribuciones","Impuestos","Impuestos directos","","Impuesto a los ingresos","Incidencia fiscal respecto al ingreso de mercado más pensiones","-0.00299987332811885"
"4","2.1.1.02","9","Impuestos y contribuciones","Impuestos","Impuestos directos","","Impuesto a los ingresos","Incidencia fiscal respecto al ingreso de mercado más pensiones","-0.00464407398453715"
"5","2.1.1.02","9","Impuestos y contribuciones","Impuestos","Impuestos directos","","Impuesto a los ingresos","Incidencia fiscal respecto al ingreso de mercado más pensiones","-0.00685068918397634"
"6","2.1.1.02","9","Impuestos y contribuciones","Impuestos","Impuestos directos","","Impuesto a los ingresos","Incidencia fiscal respecto al ingreso de mercado más pensiones","-0.00828851119018561"
