"anio","nivel_de_gobierno","codigo","finalidad_funcion","gasto_publico_porcenataje_del_pib","participacion_en_el_gasto_publico_consolidado"
"2023","Nacional","1.0","GASTO PÚBLICO TOTAL","22.2951455865479","0.532528968137826"
"2023","Nacional","1.1.1","Administración general","0.836434052719244","0.303738626426482"
"2023","Nacional","1.1.2","Justicia","0.391807259476689","0.314277265509434"
"2023","Nacional","1.1.3","Defensa y seguridad","0.884042051596536","0.344737283161906"
"2023","Nacional","1.2.1.1","Educación básica","0.172630518242721","0.0499036127017274"
"2023","Nacional","1.2.1.2","Educación superior y universitaria","0.824557381898766","0.73134291218572"
"2023","Nacional","1.2.1.3","Ciencia y técnica","0.243941575016977","0.91233019972905"
"2023","Nacional","1.2.1.4","Cultura","0.0565763721264359","0.28240284296187"
"2023","Nacional","1.2.1.5","Educación y cultura sin discriminar","0.167679307930585","0.211442835587975"
"2023","Nacional","1.2.2","Salud","3.11910677097364","0.495921947455609"
"2023","Nacional","1.2.3","Agua potable y alcantarillado","0.397479207167302","0.584314241867221"
"2023","Nacional","1.2.4","Vivienda y urbanismo","0.140550769913311","0.149795511999921"
"2023","Nacional","1.2.5","Promoción y asistencia social","1.71180378866994","0.615556740276215"
"2023","Nacional","1.2.6","Previsión social","7.59213094333724","0.774803729449899"
"2023","Nacional","1.2.7","Trabajo","0.790455051106457","0.861888077275785"
"2023","Nacional","1.2.8","Otros servicios urbanos","0","0"
"2023","Nacional","1.3.1","Producción primaria","0.141034069132072","0.323567522626509"
"2023","Nacional","1.3.2","Energía y combustible","1.81475430721346","0.904123056773872"
"2023","Nacional","1.3.3","Industria","0.0599042707136787","0.435234997578913"
"2023","Nacional","1.3.4","Servicios","1.07335072523101","0.527470726165981"
"2023","Nacional","1.3.5","Otros gastos en servicios económicos","0.0625340312086045","0.19795987703537"
"2023","Nacional","1.4","SERVICIOS DE LA DEUDA PÚBLICA","1.81437313287325","0.832914756988958"
"2023","Provincial","1.0","GASTO PÚBLICO TOTAL","16.13168172095","0.385312030721548"
"2023","Provincial","1.1.1","Administración general","1.11854847888011","0.40618429804712"
"2023","Provincial","1.1.2","Justicia","0.854885716681102","0.685722734490566"
"2023","Provincial","1.1.3","Defensa y seguridad","1.63304665819376","0.636815937890789"
"2023","Provincial","1.2.1.1","Educación básica","3.15249448935098","0.911315482582901"
"2023","Provincial","1.2.1.2","Educación superior y universitaria","0.302899202638932","0.26865708781428"
"2023","Provincial","1.2.1.3","Ciencia y técnica","0.0234414131702215","0.0876698002709499"
"2023","Provincial","1.2.1.4","Cultura","0.0893990758505773","0.446238460146337"
"2023","Provincial","1.2.1.5","Educación y cultura sin discriminar","0.625344997973687","0.788557164412025"
"2023","Provincial","1.2.2","Salud","2.72416702380214","0.433128557255704"
"2023","Provincial","1.2.3","Agua potable y alcantarillado","0.152896266113244","0.224765130369914"
"2023","Provincial","1.2.4","Vivienda y urbanismo","0.368104966794555","0.392317110782913"
"2023","Provincial","1.2.5","Promoción y asistencia social","0.828587467941978","0.297956228497651"
"2023","Provincial","1.2.6","Previsión social","2.18687021407441","0.223177815337173"
"2023","Provincial","1.2.7","Trabajo","0.0691244154848396","0.0753711542125588"
"2023","Provincial","1.2.8","Otros servicios urbanos","0.154095025335454","0.164020575387448"
"2023","Provincial","1.3.1","Producción primaria","0.247080772929442","0.566865255164378"
"2023","Provincial","1.3.2","Energía y combustible","0.190400954518534","0.0948590629198109"
"2023","Provincial","1.3.3","Industria","0.0657921926671819","0.478013745515371"
"2023","Provincial","1.3.4","Servicios","0.782361852299755","0.384471696582023"
"2023","Provincial","1.3.5","Otros gastos en servicios económicos","0.209531802645642","0.66330107119375"
"2023","Provincial","1.4","SERVICIOS DE LA DEUDA PÚBLICA","0.352608733603467","0.161870241760262"
"2023","Municipal","1.0","GASTO PÚBLICO TOTAL","3.43971314477214","0.0821590011406264"
"2023","Municipal","1.1.1","Administración general","0.79881293577331","0.290077075526398"
"2023","Municipal","1.1.2","Justicia","0","0"
"2023","Municipal","1.1.3","Defensa y seguridad","0.0473048002129336","0.0184467789473052"
"2023","Municipal","1.2.1.1","Educación básica","0.134153968349959","0.0387809047153714"
"2023","Municipal","1.2.1.2","Educación superior y universitaria","0","0"
"2023","Municipal","1.2.1.3","Ciencia y técnica","0","0"
"2023","Municipal","1.2.1.4","Cultura","0.0543637962496281","0.271358696891793"
"2023","Municipal","1.2.1.5","Educación y cultura sin discriminar","0","0"
"2023","Municipal","1.2.2","Salud","0.446237663582967","0.070949495288687"
"2023","Municipal","1.2.3","Agua potable y alcantarillado","0.129873575411348","0.190920627762865"
"2023","Municipal","1.2.4","Vivienda y urbanismo","0.42962851518204","0.457887377217166"
"2023","Municipal","1.2.5","Promoción y asistencia social","0.240512073114949","0.0864870312261345"
"2023","Municipal","1.2.6","Previsión social","0.0197783976732926","0.0020184552129279"
"2023","Municipal","1.2.7","Trabajo","0.0575408323747712","0.0627407685116564"
"2023","Municipal","1.2.8","Otros servicios urbanos","0.78539092007994","0.835979424612552"
"2023","Municipal","1.3.1","Producción primaria","0.0477572998248225","0.109567222209114"
"2023","Municipal","1.3.2","Energía y combustible","0.00204308767072929","0.00101788030631713"
"2023","Municipal","1.3.3","Industria","0.0119401491317106","0.0867512569057166"
"2023","Municipal","1.3.4","Servicios","0.179188454859907","0.0880575772519955"
"2023","Municipal","1.3.5","Otros gastos en servicios económicos","0.0438266194302707","0.138739051770879"
"2023","Municipal","1.4","SERVICIOS DE LA DEUDA PÚBLICA","0.0113600558495584","0.00521500125078015"
