"anio","finalidad","gasto_publico_consolidado"
"1980","funcionamiento_del_estado","5.36965"
"1980","gasto_publico_servicios_economicos","6.85619"
"1980","gasto_publico_social","14.50547"
"1980","servicios_de_la_deuda_publica","2.30583"
"1981","funcionamiento_del_estado","5.24269"
"1981","gasto_publico_servicios_economicos","6.48002"
"1981","gasto_publico_social","14.88977"
"1981","servicios_de_la_deuda_publica","4.73007"
"1982","funcionamiento_del_estado","4.35422"
"1982","gasto_publico_servicios_economicos","6.69155"
"1982","gasto_publico_social","10.88641"
"1982","servicios_de_la_deuda_publica","6.11449"
"1983","funcionamiento_del_estado","4.27225"
"1983","gasto_publico_servicios_economicos","6.92055"
"1983","gasto_publico_social","11.41962"
"1983","servicios_de_la_deuda_publica","3.30793"
"1984","funcionamiento_del_estado","3.85835"
"1984","gasto_publico_servicios_economicos","6.68606"
"1984","gasto_publico_social","12.96622"
"1984","servicios_de_la_deuda_publica","3.07102"
"1985","funcionamiento_del_estado","4.31129"
"1985","gasto_publico_servicios_economicos","7.01870"
"1985","gasto_publico_social","14.94517"
"1985","servicios_de_la_deuda_publica","3.67879"
"1986","funcionamiento_del_estado","5.11008"
"1986","gasto_publico_servicios_economicos","6.97111"
"1986","gasto_publico_social","17.24037"
"1986","servicios_de_la_deuda_publica","2.83206"
"1987","funcionamiento_del_estado","5.53782"
"1987","gasto_publico_servicios_economicos","7.71210"
"1987","gasto_publico_social","18.67589"
"1987","servicios_de_la_deuda_publica","2.71214"
"1988","funcionamiento_del_estado","5.23756"
"1988","gasto_publico_servicios_economicos","7.99955"
"1988","gasto_publico_social","16.67843"
"1988","servicios_de_la_deuda_publica","2.25913"
"1989","funcionamiento_del_estado","4.68991"
"1989","gasto_publico_servicios_economicos","7.59290"
"1989","gasto_publico_social","16.60896"
"1989","servicios_de_la_deuda_publica","2.82149"
"1990","funcionamiento_del_estado","4.92033"
"1990","gasto_publico_servicios_economicos","5.30855"
"1990","gasto_publico_social","18.56919"
"1990","servicios_de_la_deuda_publica","1.57147"
"1991","funcionamiento_del_estado","5.80333"
"1991","gasto_publico_servicios_economicos","3.63409"
"1991","gasto_publico_social","19.61386"
"1991","servicios_de_la_deuda_publica","1.99196"
"1992","funcionamiento_del_estado","6.08167"
"1992","gasto_publico_servicios_economicos","3.09735"
"1992","gasto_publico_social","19.80711"
"1992","servicios_de_la_deuda_publica","2.50668"
"1993","funcionamiento_del_estado","6.17689"
"1993","gasto_publico_servicios_economicos","3.39926"
"1993","gasto_publico_social","20.28764"
"1993","servicios_de_la_deuda_publica","1.84876"
"1994","funcionamiento_del_estado","6.30546"
"1994","gasto_publico_servicios_economicos","2.74535"
"1994","gasto_publico_social","21.02385"
"1994","servicios_de_la_deuda_publica","1.75322"
"1995","funcionamiento_del_estado","6.24909"
"1995","gasto_publico_servicios_economicos","2.75513"
"1995","gasto_publico_social","21.19986"
"1995","servicios_de_la_deuda_publica","2.24041"
"1996","funcionamiento_del_estado","5.87329"
"1996","gasto_publico_servicios_economicos","2.34830"
"1996","gasto_publico_social","20.11429"
"1996","servicios_de_la_deuda_publica","2.20893"
"1997","funcionamiento_del_estado","5.65858"
"1997","gasto_publico_servicios_economicos","2.20044"
"1997","gasto_publico_social","19.82476"
"1997","servicios_de_la_deuda_publica","2.67297"
"1998","funcionamiento_del_estado","5.89920"
"1998","gasto_publico_servicios_economicos","2.23892"
"1998","gasto_publico_social","20.12955"
"1998","servicios_de_la_deuda_publica","2.69228"
"1999","funcionamiento_del_estado","6.75593"
"1999","gasto_publico_servicios_economicos","2.08696"
"1999","gasto_publico_social","21.82527"
"1999","servicios_de_la_deuda_publica","3.56453"
"2000","funcionamiento_del_estado","6.08127"
"2000","gasto_publico_servicios_economicos","1.73158"
"2000","gasto_publico_social","21.75092"
"2000","servicios_de_la_deuda_publica","4.26535"
"2001","funcionamiento_del_estado","6.16496"
"2001","gasto_publico_servicios_economicos","1.72248"
"2001","gasto_publico_social","22.39214"
"2001","servicios_de_la_deuda_publica","5.31808"
"2002","funcionamiento_del_estado","5.28322"
"2002","gasto_publico_servicios_economicos","1.34737"
"2002","gasto_publico_social","19.84196"
"2002","servicios_de_la_deuda_publica","2.63498"
"2003","funcionamiento_del_estado","5.26216"
"2003","gasto_publico_servicios_economicos","2.40033"
"2003","gasto_publico_social","19.36821"
