"anio","codigo","finalidades","funciones","subfunciones","gasto_publico_consolidado"
"1980","1.1.1","FUNCIONAMIENTO DEL ESTADO","Administración general",,"1.84961529673947"
"1981","1.1.1","FUNCIONAMIENTO DEL ESTADO","Administración general",,"1.84944885061433"
"1982","1.1.1","FUNCIONAMIENTO DEL ESTADO","Administración general",,"1.33318393199603"
"1983","1.1.1","FUNCIONAMIENTO DEL ESTADO","Administración general",,"1.43482921615207"
"1984","1.1.1","FUNCIONAMIENTO DEL ESTADO","Administración general",,"1.52145952434218"
"1985","1.1.1","FUNCIONAMIENTO DEL ESTADO","Administración general",,"1.90517464782132"
"1986","1.1.1","FUNCIONAMIENTO DEL ESTADO","Administración general",,"2.22002362086046"
"1987","1.1.1","FUNCIONAMIENTO DEL ESTADO","Administración general",,"2.48301036008912"
"1988","1.1.1","FUNCIONAMIENTO DEL ESTADO","Administración general",,"2.3221556242567"
"1989","1.1.1","FUNCIONAMIENTO DEL ESTADO","Administración general",,"2.14715534645611"
"1990","1.1.1","FUNCIONAMIENTO DEL ESTADO","Administración general",,"2.44407977383453"
"1991","1.1.1","FUNCIONAMIENTO DEL ESTADO","Administración general",,"2.88094381996151"
"1992","1.1.1","FUNCIONAMIENTO DEL ESTADO","Administración general",,"3.13504839280204"
"1993","1.1.1","FUNCIONAMIENTO DEL ESTADO","Administración general",,"3.16597343099634"
"1994","1.1.1","FUNCIONAMIENTO DEL ESTADO","Administración general",,"3.25816757581662"
"1995","1.1.1","FUNCIONAMIENTO DEL ESTADO","Administración general",,"3.09773081047685"
"1996","1.1.1","FUNCIONAMIENTO DEL ESTADO","Administración general",,"2.93903527425897"
"1997","1.1.1","FUNCIONAMIENTO DEL ESTADO","Administración general",,"2.78113446506158"
"1998","1.1.1","FUNCIONAMIENTO DEL ESTADO","Administración general",,"2.92184875982747"
"1999","1.1.1","FUNCIONAMIENTO DEL ESTADO","Administración general",,"3.46232922435443"
"2000","1.1.1","FUNCIONAMIENTO DEL ESTADO","Administración general",,"2.80405565942438"
"2001","1.1.1","FUNCIONAMIENTO DEL ESTADO","Administración general",,"2.74178709319381"
"2002","1.1.1","FUNCIONAMIENTO DEL ESTADO","Administración general",,"2.27138870048097"
"2003","1.1.1","FUNCIONAMIENTO DEL ESTADO","Administración general",,"2.36876916045601"
"2004","1.1.1","FUNCIONAMIENTO DEL ESTADO","Administración general",,"2.32266306105918"
"2005","1.1.1","FUNCIONAMIENTO DEL ESTADO","Administración general",,"2.43718144310059"
"2006","1.1.1","FUNCIONAMIENTO DEL ESTADO","Administración general",,"2.50917538913655"
"2007","1.1.1","FUNCIONAMIENTO DEL ESTADO","Administración general",,"2.69692436463669"
"2008","1.1.1","FUNCIONAMIENTO DEL ESTADO","Administración general",,"2.66439966623086"
"2009","1.1.1","FUNCIONAMIENTO DEL ESTADO","Administración general",,"3.15003210498031"
"2010","1.1.1","FUNCIONAMIENTO DEL ESTADO","Administración general",,"2.94750955018514"
"2011","1.1.1","FUNCIONAMIENTO DEL ESTADO","Administración general",,"2.90777863598195"
"2012","1.1.1","FUNCIONAMIENTO DEL ESTADO","Administración general",,"2.87155145028602"
"2013","1.1.1","FUNCIONAMIENTO DEL ESTADO","Administración general",,"3.07813169764687"
"2014","1.1.1","FUNCIONAMIENTO DEL ESTADO","Administración general",,"2.96520895206414"
"2015","1.1.1","FUNCIONAMIENTO DEL ESTADO","Administración general",,"3.12401984721487"
"2016","1.1.1","FUNCIONAMIENTO DEL ESTADO","Administración general",,"2.99181024476542"
"2017","1.1.1","FUNCIONAMIENTO DEL ESTADO","Administración general",,"3.00814018909452"
"2018","1.1.1","FUNCIONAMIENTO DEL ESTADO","Administración general",,"2.70729817548758"
"2019","1.1.1","FUNCIONAMIENTO DEL ESTADO","Administración general",,"2.67367666421878"
"2020","1.1.1","FUNCIONAMIENTO DEL ESTADO","Administración general",,"2.66397257850067"
"2021","1.1.1","FUNCIONAMIENTO DEL ESTADO","Administración general",,"2.57392576370916"
"2022","1.1.1","FUNCIONAMIENTO DEL ESTADO","Administración general",,"2.57300612826637"
"2023","1.1.1","FUNCIONAMIENTO DEL ESTADO","Administración general",,"2.75379546737266"
"1980","1.1.2","FUNCIONAMIENTO DEL ESTADO","Justicia",,"0.328845338111181"
"1981","1.1.2","FUNCIONAMIENTO DEL ESTADO","Justicia",,"0.28600446492568"
"1982","1.1.2","FUNCIONAMIENTO DEL ESTADO","Justicia",,"0.221369572507648"
"1983","1.1.2","FUNCIONAMIENTO DEL ESTADO","Justicia",,"0.263484604419425"
"1984","1.1.2","FUNCIONAMIENTO DEL ESTADO","Justicia",,"0.314130522778952"
"1985","1.1.2","FUNCIONAMIENTO DEL ESTADO","Justicia",,"0.353657551061509"
"1986","1.1.2","FUNCIONAMIENTO DEL ESTADO","Justicia",,"0.435172967786041"
"1987","1.1.2","FUNCIONAMIENTO DEL ESTADO","Justicia",,"0.480368321961732"
"1988","1.1.2","FUNCIONAMIENTO DEL ESTADO","Justicia",,"0.4763125892979"
"1989","1.1.2","FUNCIONAMIENTO DEL ESTADO","Justicia",,"0.4243713835523"
"1990","1.1.2","FUNCIONAMIENTO DEL ESTADO","Justicia",,"0.482213194803587"
"1991","1.1.2","FUNCIONAMIENTO DEL ESTADO","Justicia",,"0.605238314921901"
"1992","1.1.2","FUNCIONAMIENTO DEL ESTADO","Justicia",,"0.655384338318819"
"1993","1.1.2","FUNCIONAMIENTO DEL ESTADO","Justicia",,"0.707114546920797"
"1994","1.1.2","FUNCIONAMIENTO DEL ESTADO","Justicia",,"0.74017408357933"
"1995","1.1.2","FUNCIONAMIENTO DEL ESTADO","Justicia",,"0.783142930564558"
"1996","1.1.2","FUNCIONAMIENTO DEL ESTADO","Justicia",,"0.747418595867468"
"1997","1.1.2","FUNCIONAMIENTO DEL ESTADO","Justicia",,"0.754356183576107"
"1998","1.1.2","FUNCIONAMIENTO DEL ESTADO","Justicia",,"0.782794704836675"
"1999","1.1.2","FUNCIONAMIENTO DEL ESTADO","Justicia",,"0.887803978760407"
"2000","1.1.2","FUNCIONAMIENTO DEL ESTADO","Justicia",,"0.913555846498598"
"2001","1.1.2","FUNCIONAMIENTO DEL ESTADO","Justicia",,"0.975524532972942"
"2002","1.1.2","FUNCIONAMIENTO DEL ESTADO","Justicia",,"0.813898980776701"
"2003","1.1.2","FUNCIONAMIENTO DEL ESTADO","Justicia",,"0.728412689643544"
"2004","1.1.2","FUNCIONAMIENTO DEL ESTADO","Justicia",,"0.68406596632408"
"2005","1.1.2","FUNCIONAMIENTO DEL ESTADO","Justicia",,"0.702529784759954"
"2006","1.1.2","FUNCIONAMIENTO DEL ESTADO","Justicia",,"0.701279935149513"
"2007","1.1.2","FUNCIONAMIENTO DEL ESTADO","Justicia",,"0.729575389484627"
"2008","1.1.2","FUNCIONAMIENTO DEL ESTADO","Justicia",,"0.78795777293031"
"2009","1.1.2","FUNCIONAMIENTO DEL ESTADO","Justicia",,"0.902811245055188"
"2010","1.1.2","FUNCIONAMIENTO DEL ESTADO","Justicia",,"0.871806163518575"
"2011","1.1.2","FUNCIONAMIENTO DEL ESTADO","Justicia",,"0.926321751433172"
"2012","1.1.2","FUNCIONAMIENTO DEL ESTADO","Justicia",,"0.999645544939294"
"2013","1.1.2","FUNCIONAMIENTO DEL ESTADO","Justicia",,"1.05339982574793"
"2014","1.1.2","FUNCIONAMIENTO DEL ESTADO","Justicia",,"1.06879641846103"
"2015","1.1.2","FUNCIONAMIENTO DEL ESTADO","Justicia",,"1.18151225086913"
"2016","1.1.2","FUNCIONAMIENTO DEL ESTADO","Justicia",,"1.1936059925347"
"2017","1.1.2","FUNCIONAMIENTO DEL ESTADO","Justicia",,"1.22819249163544"
"2018","1.1.2","FUNCIONAMIENTO DEL ESTADO","Justicia",,"1.15428006658828"
"2019","1.1.2","FUNCIONAMIENTO DEL ESTADO","Justicia",,"1.18597006067803"
"2020","1.1.2","FUNCIONAMIENTO DEL ESTADO","Justicia",,"1.24157156776527"
"2021","1.1.2","FUNCIONAMIENTO DEL ESTADO","Justicia",,"1.17208174441791"
"2022","1.1.2","FUNCIONAMIENTO DEL ESTADO","Justicia",,"1.17393684663349"
"2023","1.1.2","FUNCIONAMIENTO DEL ESTADO","Justicia",,"1.24669297615779"
"1980","1.1.3","FUNCIONAMIENTO DEL ESTADO","Defensa y seguridad",,"3.1911933947548"
"1981","1.1.3","FUNCIONAMIENTO DEL ESTADO","Defensa y seguridad",,"3.10723253642554"
"1982","1.1.3","FUNCIONAMIENTO DEL ESTADO","Defensa y seguridad",,"2.79966775060664"
"1983","1.1.3","FUNCIONAMIENTO DEL ESTADO","Defensa y seguridad",,"2.57393671754159"
"1984","1.1.3","FUNCIONAMIENTO DEL ESTADO","Defensa y seguridad",,"2.02275525674268"
