"geocodigoFundar","geonombreFundar","anio","ingreso","gini"
"ALB","Albania","2015","Ingresos de mercado más pensiones","0.3693"
"ALB","Albania","2015","Ingreso final","0.317"
"ARG","Argentina","2012","Ingresos de mercado más pensiones","0.471599883254439"
"ARG","Argentina","2012","Ingreso final","0.33089868074596"
"ARG","Argentina","2017","Ingresos de mercado más pensiones","0.476934642785925"
"ARG","Argentina","2017","Ingreso final","0.307716095095363"
"ARM","Armenia","2011","Ingresos de mercado más pensiones","0.294190555028262"
"ARM","Armenia","2011","Ingreso final","0.25216965859647"
"BFA","Burkina Faso","2014","Ingresos de mercado más pensiones","0.3635"
"BFA","Burkina Faso","2014","Ingreso final","0.3283"
"BLR","Belarús","2015","Ingresos de mercado más pensiones","0.292"
"BLR","Belarús","2015","Ingreso final","0.227"
"BOL","Bolivia","2015","Ingresos de mercado más pensiones","0.461598181658449"
"BOL","Bolivia","2015","Ingreso final","0.394150088982596"
"BRA","Brasil","2008","Ingresos de mercado más pensiones","0.573015871996745"
"BRA","Brasil","2008","Ingreso final","0.430478803409596"
"BWA","Botswana","2010","Ingresos de mercado más pensiones","0.632281893205665"
"BWA","Botswana","2010","Ingreso final","0.529827606674705"
"CHL","Chile","2013","Ingresos de mercado más pensiones","0.493523911478047"
"CHL","Chile","2013","Ingreso final","0.418618053622561"
"CIV","Costa de Marfil","2015","Ingresos de mercado más pensiones","0.404751074972369"
"CIV","Costa de Marfil","2015","Ingreso final","0.397910244172746"
"COL","Colombia","2010","Ingresos de mercado más pensiones","0.57760290595019"
"COL","Colombia","2010","Ingreso final","0.470373464387236"
"COL","Colombia","2014","Ingresos de mercado más pensiones","0.575261681452172"
"COL","Colombia","2014","Ingreso final","0.470968444539634"
"COM","Comoras","2014","Ingresos de mercado más pensiones","0.451389364891066"
"COM","Comoras","2014","Ingreso final","0.435074853178779"
"CRI","Costa Rica","2010","Ingresos de mercado más pensiones","0.508"
"CRI","Costa Rica","2010","Ingreso final","0.402"
"DOM","Rep. Dominicana","2006","Ingresos de mercado más pensiones","0.516661100258812"
"DOM","Rep. Dominicana","2006","Ingreso final","0.417074605362602"
"ECU","Ecuador","2011","Ingresos de mercado más pensiones","0.467671908538319"
"ECU","Ecuador","2011","Ingreso final","0.383734683337853"
"EGY","Egipto","2015","Ingresos de mercado más pensiones","0.325"
"EGY","Egipto","2015","Ingreso final","0.281"
"ESP","España","2017","Ingresos de mercado más pensiones","0.438510727246473"
"ESP","España","2017","Ingreso final","0.266930500150801"
"ETH","Etiopía","2010","Ingresos de mercado más pensiones","0.32167086"
"ETH","Etiopía","2010","Ingreso final","0.299064844846725"
"GHA","Ghana","2012","Ingresos de mercado más pensiones","0.436982893893895"
"GHA","Ghana","2012","Ingreso final","0.401459143047493"
"GTM","Guatemala","2011","Ingresos de mercado más pensiones","0.497442097122999"
"GTM","Guatemala","2011","Ingreso final","0.451464152878286"
"GTM","Guatemala","2014","Ingresos de mercado más pensiones","0.476417420041295"
"GTM","Guatemala","2014","Ingreso final","0.427447819230922"
"HND","Honduras","2011","Ingresos de mercado más pensiones","0.577355813315744"
"HND","Honduras","2011","Ingreso final","0.50637024877936"
"HRV","Croacia","2014","Ingresos de mercado más pensiones","0.391791414966482"
"HRV","Croacia","2014","Ingreso final","0.291"
"IDN","Indonesia","2012","Ingresos de mercado más pensiones","0.398268591171421"
"IDN","Indonesia","2012","Ingreso final","0.37047560750656"
"IND","India","2011","Ingresos de mercado más pensiones","0.36694732327044"
"IND","India","2011","Ingreso final","0.31072425656287"
"IRN","Irán","2011","Ingresos de mercado más pensiones","0.431984609578578"
"IRN","Irán","2011","Ingreso final","0.364979185511107"
"JOR","Jordania","2010","Ingresos de mercado más pensiones","0.341514235828884"
"JOR","Jordania","2010","Ingreso final","0.318555284341952"
"KEN","Kenia","2015","Ingresos de mercado más pensiones","0.476159390223071"
"KEN","Kenia","2015","Ingreso final","0.385859715228467"
"LKA","Sri Lanka","2009","Ingresos de mercado más pensiones","0.343685492932916"
"LKA","Sri Lanka","2009","Ingreso final","0.310082759720808"
"LSO","Lesotho","2017","Ingresos de mercado más pensiones","0.513707720576853"
"LSO","Lesotho","2017","Ingreso final","0.397794856905119"
"MEX","México","2012","Ingresos de mercado más pensiones","0.523894388364009"
"MEX","México","2012","Ingreso final","0.39663053579598"
"MEX","México","2014","Ingresos de mercado más pensiones","0.52801653015779"
"MEX","México","2014","Ingreso final","0.393278272169261"
"NAM","Namibia","2009","Ingresos de mercado más pensiones","0.653834382879449"
"NAM","Namibia","2009","Ingreso final","0.482847740285813"
"NAM","Namibia","2015","Ingresos de mercado más pensiones","0.628653255616659"
"NAM","Namibia","2015","Ingreso final","0.500249938878253"
"NIC","Nicaragua","2009","Ingresos de mercado más pensiones","0.470288142495146"
"NIC","Nicaragua","2009","Ingreso final","0.416328338106607"
"PAN","Panamá","2016","Ingresos de mercado más pensiones","0.556559458702595"
"PAN","Panamá","2016","Ingreso final","0.43194975378106"
"PER","Perú","2011","Ingresos de mercado más pensiones","0.473185904776004"
"PER","Perú","2011","Ingreso final","0.403652454151742"
"POL","Polonia","2014","Ingresos de mercado más pensiones","0.412082691215419"
"POL","Polonia","2014","Ingreso final","0.290663452615008"
"PRY","Paraguay","2014","Ingresos de mercado más pensiones","0.52160395886032"
"PRY","Paraguay","2014","Ingreso final","0.473277639347854"
"ROU","Rumania","2016","Ingresos de mercado más pensiones","0.378091620994959"
"ROU","Rumania","2016","Ingreso final","0.307445587618325"
"RUS","Rusia","2010","Ingresos de mercado más pensiones","0.378761029031502"
"RUS","Rusia","2010","Ingreso final","0.298860466435173"
"SLV","El Salvador","2011","Ingresos de mercado más pensiones","0.441145524977014"
"SLV","El Salvador","2011","Ingreso final","0.357155389757353"
"SLV","El Salvador","2013","Ingresos de mercado más pensiones","0.452408316050508"
"SLV","El Salvador","2013","Ingreso final","0.366609937608107"
"SLV","El Salvador","2015","Ingresos de mercado más pensiones","0.425144551476548"
"SLV","El Salvador","2015","Ingreso final","0.345504166720904"
"SLV","El Salvador","2017","Ingresos de mercado más pensiones","0.399674137597713"
"SLV","El Salvador","2017","Ingreso final","0.331318591547874"
"SWZ","Eswatini","2016","Ingresos de mercado más pensiones","0.499009101995135"
"SWZ","Eswatini","2016","Ingreso final","0.361839554331837"
"TGO","Togo","2015","Ingresos de mercado más pensiones","0.438211317998434"
"TGO","Togo","2015","Ingreso final","0.403549063223937"
"TJK","Tayikistán","2015","Ingresos de mercado más pensiones","0.342074912609339"
"TJK","Tayikistán","2015","Ingreso final","0.330294717078219"
"TUN","Túnez","2014","Ingresos de mercado más pensiones","0.444244811029082"
"TUN","Túnez","2014","Ingreso final","0.344658928408182"
"TUR","Turquía","2014","Ingresos de mercado más pensiones","0.471032009177122"
"TUR","Turquía","2014","Ingreso final","0.366352600589525"
"TZA","Tanzanía","2011","Ingresos de mercado más pensiones","0.385112884116415"
"TZA","Tanzanía","2011","Ingreso final","0.341455013218137"
"UGA","Uganda","2012","Ingresos de mercado más pensiones","0.423162412026741"
"UGA","Uganda","2012","Ingreso final","0.3903448639561"
"UGA","Uganda","2016","Ingresos de mercado más pensiones","0.450869685472804"
"UGA","Uganda","2016","Ingreso final","0.413442464047633"
"UKR","Ucrania","2016","Ingresos de mercado más pensiones","0.3111"
"UKR","Ucrania","2016","Ingreso final","0.223"
"URY","Uruguay","2009","Ingresos de mercado más pensiones","0.505046815778883"
"URY","Uruguay","2009","Ingreso final","0.37749416475436"
"USA","Estados Unidos","2016","Ingresos de mercado más pensiones","0.476383417499657"
"USA","Estados Unidos","2016","Ingreso final","0.328353307494109"
"VEN","Venezuela","2013","Ingresos de mercado más pensiones","0.399899406871222"
"VEN","Venezuela","2013","Ingreso final","0.285636890346905"
"ZAF","Sudáfrica","2010","Ingresos de mercado más pensiones","0.735311125177131"
"ZAF","Sudáfrica","2010","Ingreso final","0.535673392701086"
"ZAF","Sudáfrica","2014","Ingresos de mercado más pensiones","0.736967820094542"
"ZAF","Sudáfrica","2014","Ingreso final","0.546007564849775"
"ZMB","Zambia","2015","Ingresos de mercado más pensiones","0.586428575994682"
"ZMB","Zambia","2015","Ingreso final","0.483082929010178"
