"anio","finalidad_desc","total_credito_devengado"
"2004","DEUDA PUBLICA","1.21374161519323"
"2004","ADMINISTRACION GUBERNAMENTAL","1.0065846324955"
"2004","SERVICIOS SOCIALES","8.71954526676909"
"2004","SERVICIOS ECONOMICOS","1.23790659729949"
"2004","SERVICIOS DE DEFENSA Y SEGURIDAD","1.07208144716037"
"2005","DEUDA PUBLICA","2.06852710428257"
"2005","ADMINISTRACION GUBERNAMENTAL","0.968127628712026"
"2005","SERVICIOS SOCIALES","8.76841181796682"
"2005","SERVICIOS ECONOMICOS","2.07948724440147"
"2005","SERVICIOS DE DEFENSA Y SEGURIDAD","1.0228328849175"
"2006","ADMINISTRACION GUBERNAMENTAL","0.895164375046849"
"2006","DEUDA PUBLICA","1.69837888668448"
"2006","SERVICIOS DE DEFENSA Y SEGURIDAD","0.987057387279716"
"2006","SERVICIOS SOCIALES","9.03791715661875"
"2006","SERVICIOS ECONOMICOS","2.17323930227701"
"2007","SERVICIOS SOCIALES","9.52062971607602"
"2007","SERVICIOS ECONOMICOS","2.72860768916371"
"2007","SERVICIOS DE DEFENSA Y SEGURIDAD","0.966947347412021"
"2007","DEUDA PUBLICA","1.92349078594205"
"2007","ADMINISTRACION GUBERNAMENTAL","0.738400489938707"
"2008","DEUDA PUBLICA","1.88492251463221"
"2008","ADMINISTRACION GUBERNAMENTAL","0.762092618916501"
"2008","SERVICIOS SOCIALES","9.57839920493246"
"2008","SERVICIOS ECONOMICOS","3.61887282884413"
"2008","SERVICIOS DE DEFENSA Y SEGURIDAD","0.941403975418699"
"2009","SERVICIOS SOCIALES","11.7540317911089"
"2009","SERVICIOS ECONOMICOS","3.64824506754441"
"2009","SERVICIOS DE DEFENSA Y SEGURIDAD","1.18028812744234"
"2009","DEUDA PUBLICA","2.09166854644615"
"2009","ADMINISTRACION GUBERNAMENTAL","1.35223112560988"
"2010","SERVICIOS ECONOMICOS","4.12679848519203"
"2010","SERVICIOS SOCIALES","11.4632241206038"
"2010","SERVICIOS DE DEFENSA Y SEGURIDAD","1.22170905373055"
