"ejercicio_presupuestario","tipo_gasto","porcentaje_pbi"
2004,"APN",13.2495022983002
2004,"Consolidado",26.600173
2004,"Nacional",13.2
2005,"APN",14.907047069688
2005,"Consolidado",29.057055
2005,"Nacional",14.5
2006,"APN",14.7914950024977
2006,"Consolidado",29.645479
2006,"Nacional",14.5
2007,"APN",15.8778408766528
2007,"Consolidado",32.483822
2007,"Nacional",16.9
2008,"APN",16.7855261251498
2008,"Consolidado",34.312271
2008,"Nacional",18.2
2009,"APN",20.0263026384852
2009,"Consolidado",39.864566
2009,"Nacional",21.6
2010,"APN",19.8008073715324
2010,"Consolidado",38.270115
2010,"Nacional",21
2011,"APN",20.6766063579957
2011,"Consolidado",40.006699
2011,"Nacional",22.2
2012,"APN",21.2983813472976
2012,"Consolidado",41.279217
2012,"Nacional",23.2
2013,"APN",22.4272917377168
2013,"Consolidado",42.856229
2013,"Nacional",24
2014,"APN",24.772719050601
2014,"Consolidado",44.993437
2014,"Nacional",26.1
2015,"APN",24.0433202957458
2015,"Consolidado",46.29946
2015,"Nacional",25.9
2016,"APN",25.9002422276115
2016,"Consolidado",47.308012
2016,"Nacional",27.4
2017,"APN",24.0520600670408
2017,"Consolidado",46.247818
2017,"Nacional",25.7
2018,"APN",22.3738340603034
2018,"Consolidado",43.589625
2018,"Nacional",24.4
2019,"APN",22.0892073221822
2019,"Consolidado",43.463395
2019,"Nacional",24.2
2020,"APN",25.7312647999005
2020,"Consolidado",47.353322
2020,"Nacional",27.5
2021,"APN",23.2872725141037
2021,"Consolidado",42.808883
2021,"Nacional",24.3
2022,"APN",21.2066197763537
2022,"Consolidado",42.256449
2022,"Nacional",23.5
2023,"APN",19.8665080456792
2023,"Consolidado",41.86654
2023,"Nacional",22.3
2024,"APN",15.477659457252
2024,"Consolidado",NA
2024,"Nacional",NA
